C:\Users\vinay\Downloads\video_pexels\videos\tensorflow\nanoGPTV2\train.py:209: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
C:\Users\vinay\Downloads\video_pexels\videos\venv\Lib\site-packages\torch\amp\grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 100
Overriding: log_interval = 1
Overriding: block_size = 128
Overriding: batch_size = 24
Overriding: n_layer = 12
Overriding: n_head = 12
Overriding: n_embd = 384
Overriding: max_iters = 8000
Overriding: lr_decay_iters = 8000
Overriding: dropout = 0.0
tokens per iteration will be: 3,072
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 21.27M
num decayed parameter tensors: 50, with 21,307,776 parameters
num non-decayed parameter tensors: 25, with 9,600 parameters
using fused AdamW: False
step 0: train loss 4.3122, val loss 4.3066
iter 0: loss 4.3118, time 110126.04ms, mfu -100.00%
iter 1: loss 3.9188, time 1660.75ms, mfu -100.00%
iter 2: loss 3.6428, time 1645.78ms, mfu -100.00%
iter 3: loss 3.5219, time 1611.35ms, mfu -100.00%
iter 4: loss 3.3929, time 1643.19ms, mfu -100.00%
iter 5: loss 3.3632, time 1614.88ms, mfu 0.08%
iter 6: loss 3.3439, time 1601.87ms, mfu 0.08%
iter 7: loss 3.2473, time 1643.62ms, mfu 0.08%
iter 8: loss 3.2018, time 1662.59ms, mfu 0.08%
iter 9: loss 3.1889, time 1629.57ms, mfu 0.08%
iter 10: loss 3.0471, time 1659.27ms, mfu 0.08%
iter 11: loss 3.0445, time 1657.35ms, mfu 0.08%
iter 12: loss 2.9548, time 1692.28ms, mfu 0.08%
iter 13: loss 2.9027, time 1692.21ms, mfu 0.08%
iter 14: loss 2.8598, time 1687.08ms, mfu 0.08%
iter 15: loss 2.8083, time 1722.90ms, mfu 0.08%
iter 16: loss 2.7977, time 1692.35ms, mfu 0.08%
iter 17: loss 2.7980, time 1672.28ms, mfu 0.08%
iter 18: loss 2.8083, time 1694.11ms, mfu 0.08%
iter 19: loss 2.7593, time 1687.72ms, mfu 0.08%
iter 20: loss 2.7255, time 1661.82ms, mfu 0.08%
iter 21: loss 2.6935, time 1677.88ms, mfu 0.08%
iter 22: loss 2.7169, time 1692.54ms, mfu 0.08%
iter 23: loss 2.6606, time 1678.85ms, mfu 0.08%
iter 24: loss 2.6593, time 1679.75ms, mfu 0.08%
iter 25: loss 2.6748, time 1705.57ms, mfu 0.08%
iter 26: loss 2.6452, time 1694.95ms, mfu 0.08%
iter 27: loss 2.6412, time 1691.46ms, mfu 0.08%
iter 28: loss 2.5850, time 1704.93ms, mfu 0.08%
iter 29: loss 2.5829, time 1665.04ms, mfu 0.08%
iter 30: loss 2.6270, time 1630.94ms, mfu 0.08%
iter 31: loss 2.5797, time 1628.95ms, mfu 0.08%
iter 32: loss 2.5637, time 1627.92ms, mfu 0.08%
iter 33: loss 2.5601, time 1628.22ms, mfu 0.08%
iter 34: loss 2.5591, time 1616.75ms, mfu 0.08%
iter 35: loss 2.5712, time 1645.70ms, mfu 0.08%
iter 36: loss 2.5877, time 1630.04ms, mfu 0.08%
iter 37: loss 2.5692, time 1659.71ms, mfu 0.08%
iter 38: loss 2.5747, time 1643.64ms, mfu 0.08%
iter 39: loss 2.5727, time 1645.06ms, mfu 0.08%
iter 40: loss 2.5166, time 1629.78ms, mfu 0.08%
iter 41: loss 2.5835, time 1625.80ms, mfu 0.08%
iter 42: loss 2.5796, time 1678.45ms, mfu 0.08%
iter 43: loss 2.5315, time 1629.68ms, mfu 0.08%
iter 44: loss 2.5512, time 1627.70ms, mfu 0.08%
iter 45: loss 2.5304, time 1643.97ms, mfu 0.08%
iter 46: loss 2.5362, time 1644.42ms, mfu 0.08%
iter 47: loss 2.5269, time 1633.08ms, mfu 0.08%
iter 48: loss 2.5310, time 1644.24ms, mfu 0.08%
iter 49: loss 2.5457, time 1628.75ms, mfu 0.08%
iter 50: loss 2.5659, time 1648.32ms, mfu 0.08%
iter 51: loss 2.5496, time 1629.46ms, mfu 0.08%
iter 52: loss 2.5637, time 1629.35ms, mfu 0.08%
iter 53: loss 2.5755, time 1661.40ms, mfu 0.08%
iter 54: loss 2.4865, time 1646.10ms, mfu 0.08%
iter 55: loss 2.5130, time 1645.14ms, mfu 0.08%
iter 56: loss 2.5124, time 1629.22ms, mfu 0.08%
iter 57: loss 2.5034, time 1645.30ms, mfu 0.08%
iter 58: loss 2.4742, time 1679.29ms, mfu 0.08%
iter 59: loss 2.5660, time 1631.53ms, mfu 0.08%
iter 60: loss 2.4977, time 1655.19ms, mfu 0.08%
iter 61: loss 2.5267, time 1645.62ms, mfu 0.08%
iter 62: loss 2.5370, time 1645.85ms, mfu 0.08%
iter 63: loss 2.5062, time 1643.90ms, mfu 0.08%
iter 64: loss 2.4891, time 1628.26ms, mfu 0.08%
iter 65: loss 2.4580, time 1642.63ms, mfu 0.08%
iter 66: loss 2.5019, time 1631.35ms, mfu 0.08%
iter 67: loss 2.5217, time 1631.66ms, mfu 0.08%
iter 68: loss 2.4896, time 1676.21ms, mfu 0.08%
iter 69: loss 2.5006, time 1642.19ms, mfu 0.08%
iter 70: loss 2.4748, time 1621.64ms, mfu 0.08%
iter 71: loss 2.4525, time 1618.66ms, mfu 0.08%
