iter 69: loss 2.5043, time 3328.22ms, mfu 0.04%
iter 70: loss 2.5225, time 3354.73ms, mfu 0.04%
iter 71: loss 2.4743, time 3394.14ms, mfu 0.04%
iter 72: loss 2.5111, time 3415.32ms, mfu 0.04%
iter 73: loss 2.4850, time 3364.54ms, mfu 0.04%
iter 74: loss 2.5001, time 3396.01ms, mfu 0.04%
iter 75: loss 2.4567, time 3307.54ms, mfu 0.04%
iter 76: loss 2.4969, time 3378.43ms, mfu 0.04%
iter 77: loss 2.5688, time 3460.88ms, mfu 0.04%
iter 78: loss 2.4781, time 3470.64ms, mfu 0.04%
iter 79: loss 2.4852, time 3505.52ms, mfu 0.04%
iter 80: loss 2.4994, time 3462.68ms, mfu 0.04%
iter 81: loss 2.4768, time 3445.47ms, mfu 0.04%
iter 82: loss 2.5242, time 3400.65ms, mfu 0.04%
iter 83: loss 2.4716, time 3409.77ms, mfu 0.04%
iter 84: loss 2.4811, time 3453.70ms, mfu 0.04%
iter 85: loss 2.4571, time 3410.78ms, mfu 0.04%
iter 86: loss 2.4909, time 3468.66ms, mfu 0.04%
iter 87: loss 2.4399, time 3492.11ms, mfu 0.04%
iter 88: loss 2.4645, time 3666.57ms, mfu 0.04%
iter 89: loss 2.4580, time 3588.27ms, mfu 0.04%
iter 90: loss 2.4334, time 3583.57ms, mfu 0.04%
iter 91: loss 2.4893, time 3400.86ms, mfu 0.04%
iter 92: loss 2.4545, time 3634.07ms, mfu 0.04%
iter 93: loss 2.4702, time 3404.03ms, mfu 0.04%
iter 94: loss 2.4569, time 3519.96ms, mfu 0.04%
iter 95: loss 2.4236, time 3634.87ms, mfu 0.04%
iter 96: loss 2.4657, time 3574.01ms, mfu 0.04%
iter 97: loss 2.4886, time 3426.68ms, mfu 0.04%
iter 98: loss 2.4279, time 3546.05ms, mfu 0.04%
iter 99: loss 2.4630, time 3252.96ms, mfu 0.04%
iter 100: loss 2.4851, time 3108.03ms, mfu 0.04%
iter 101: loss 2.4394, time 3081.28ms, mfu 0.04%
iter 102: loss 2.4606, time 3099.33ms, mfu 0.04%
iter 103: loss 2.4326, time 3073.62ms, mfu 0.04%
iter 104: loss 2.4346, time 3062.29ms, mfu 0.04%
iter 105: loss 2.4481, time 3083.49ms, mfu 0.04%
iter 106: loss 2.4128, time 3086.52ms, mfu 0.04%
iter 107: loss 2.4072, time 3048.39ms, mfu 0.04%
iter 108: loss 2.4577, time 3078.74ms, mfu 0.04%
iter 109: loss 2.4309, time 3086.20ms, mfu 0.04%
iter 110: loss 2.4568, time 3084.88ms, mfu 0.04%
iter 111: loss 2.4007, time 3077.01ms, mfu 0.04%
iter 112: loss 2.4295, time 3092.04ms, mfu 0.04%
iter 113: loss 2.4413, time 3077.22ms, mfu 0.04%
iter 114: loss 2.3923, time 3086.66ms, mfu 0.04%
iter 115: loss 2.4137, time 3055.86ms, mfu 0.04%
iter 116: loss 2.4403, time 3103.50ms, mfu 0.04%
iter 117: loss 2.3937, time 3088.75ms, mfu 0.04%
iter 118: loss 2.4952, time 3135.69ms, mfu 0.04%
iter 119: loss 2.4352, time 3106.59ms, mfu 0.04%
iter 120: loss 2.4243, time 3110.29ms, mfu 0.04%
iter 121: loss 2.4582, time 3077.99ms, mfu 0.04%
iter 122: loss 2.4328, time 3029.83ms, mfu 0.04%
iter 123: loss 2.4165, time 3094.14ms, mfu 0.04%
iter 124: loss 2.4167, time 3091.49ms, mfu 0.04%
iter 125: loss 2.4318, time 3090.13ms, mfu 0.04%
iter 126: loss 2.4124, time 3061.41ms, mfu 0.04%
iter 127: loss 2.3681, time 3082.30ms, mfu 0.04%
iter 128: loss 2.4081, time 3090.15ms, mfu 0.04%
iter 129: loss 2.4253, time 3136.28ms, mfu 0.04%
iter 130: loss 2.4183, time 3106.75ms, mfu 0.04%
iter 131: loss 2.3758, time 3066.48ms, mfu 0.04%
iter 132: loss 2.3979, time 3140.32ms, mfu 0.04%
iter 133: loss 2.3942, time 3133.71ms, mfu 0.04%
iter 134: loss 2.4491, time 3131.98ms, mfu 0.04%
iter 135: loss 2.4196, time 3138.06ms, mfu 0.04%
iter 136: loss 2.3947, time 3119.49ms, mfu 0.04%
iter 137: loss 2.3814, time 3120.09ms, mfu 0.04%
