iter 71: loss 2.5625, time 527.58ms, mfu 0.03%
iter 72: loss 2.5731, time 530.72ms, mfu 0.03%
iter 73: loss 2.5615, time 539.43ms, mfu 0.03%
iter 74: loss 2.5572, time 532.35ms, mfu 0.03%
iter 75: loss 2.5668, time 536.36ms, mfu 0.03%
iter 76: loss 2.5403, time 504.75ms, mfu 0.03%
iter 77: loss 2.5515, time 521.43ms, mfu 0.03%
iter 78: loss 2.5549, time 542.35ms, mfu 0.03%
iter 79: loss 2.5443, time 533.89ms, mfu 0.03%
iter 80: loss 2.5397, time 550.14ms, mfu 0.03%
iter 81: loss 2.5338, time 555.69ms, mfu 0.03%
iter 82: loss 2.5852, time 527.99ms, mfu 0.03%
iter 83: loss 2.5252, time 528.38ms, mfu 0.03%
iter 84: loss 2.5265, time 564.99ms, mfu 0.03%
iter 85: loss 2.5502, time 521.26ms, mfu 0.03%
iter 86: loss 2.5556, time 541.67ms, mfu 0.03%
iter 87: loss 2.5664, time 575.20ms, mfu 0.03%
iter 88: loss 2.5253, time 544.86ms, mfu 0.03%
iter 89: loss 2.5192, time 541.12ms, mfu 0.03%
iter 90: loss 2.5313, time 539.50ms, mfu 0.03%
iter 91: loss 2.5330, time 523.37ms, mfu 0.03%
iter 92: loss 2.5016, time 517.08ms, mfu 0.03%
iter 93: loss 2.5550, time 542.57ms, mfu 0.03%
iter 94: loss 2.5677, time 529.85ms, mfu 0.03%
iter 95: loss 2.5238, time 520.16ms, mfu 0.03%
iter 96: loss 2.5035, time 531.70ms, mfu 0.03%
iter 97: loss 2.5092, time 545.58ms, mfu 0.03%
iter 98: loss 2.5189, time 524.12ms, mfu 0.03%
iter 99: loss 2.5775, time 541.37ms, mfu 0.03%
iter 100: loss 2.4870, time 541.84ms, mfu 0.03%
iter 101: loss 2.4968, time 538.63ms, mfu 0.03%
iter 102: loss 2.5479, time 546.61ms, mfu 0.03%
iter 103: loss 2.4960, time 543.19ms, mfu 0.03%
iter 104: loss 2.4739, time 533.63ms, mfu 0.03%
iter 105: loss 2.5222, time 540.45ms, mfu 0.03%
iter 106: loss 2.4891, time 566.66ms, mfu 0.03%
iter 107: loss 2.4997, time 540.27ms, mfu 0.03%
iter 108: loss 2.4925, time 1630.74ms, mfu 0.03%
iter 109: loss 2.5154, time 1922.90ms, mfu 0.03%
iter 110: loss 2.4377, time 1958.81ms, mfu 0.03%
iter 111: loss 2.4910, time 1930.69ms, mfu 0.02%
iter 112: loss 2.4513, time 1925.87ms, mfu 0.02%
iter 113: loss 2.5291, time 1895.27ms, mfu 0.02%
iter 114: loss 2.4681, time 1903.41ms, mfu 0.02%
iter 115: loss 2.4742, time 1946.97ms, mfu 0.02%
iter 116: loss 2.5129, time 1980.15ms, mfu 0.02%
iter 117: loss 2.5131, time 1883.65ms, mfu 0.02%
iter 118: loss 2.4623, time 1867.97ms, mfu 0.02%
iter 119: loss 2.4709, time 1914.24ms, mfu 0.02%
iter 120: loss 2.4269, time 1993.97ms, mfu 0.02%
iter 121: loss 2.4863, time 2009.52ms, mfu 0.01%
iter 122: loss 2.4706, time 1835.61ms, mfu 0.01%
iter 123: loss 2.4793, time 1945.99ms, mfu 0.01%
iter 124: loss 2.4550, time 1878.75ms, mfu 0.01%
iter 125: loss 2.4674, time 1981.00ms, mfu 0.01%
iter 126: loss 2.4453, time 1990.86ms, mfu 0.01%
iter 127: loss 2.4676, time 1917.68ms, mfu 0.01%
iter 128: loss 2.4336, time 1883.09ms, mfu 0.01%
iter 129: loss 2.3956, time 1918.40ms, mfu 0.01%
iter 130: loss 2.4478, time 1963.23ms, mfu 0.01%
iter 131: loss 2.4614, time 1911.37ms, mfu 0.01%
iter 132: loss 2.3956, time 1940.68ms, mfu 0.01%
iter 133: loss 2.4622, time 1119.96ms, mfu 0.01%
