C:\Users\vinay\Downloads\video_pexels\videos\tensorflow\nanoGPTswiGLUV2\train.py:209: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
C:\Users\vinay\Downloads\video_pexels\videos\venv\Lib\site-packages\torch\amp\grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 100
Overriding: log_interval = 1
Overriding: block_size = 128
Overriding: batch_size = 24
Overriding: n_layer = 8
Overriding: n_head = 8
Overriding: n_embd = 256
Overriding: max_iters = 2000
Overriding: lr_decay_iters = 2000
Overriding: dropout = 0.0
tokens per iteration will be: 3,072
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 6.44M
num decayed parameter tensors: 34, with 6,471,936 parameters
num non-decayed parameter tensors: 17, with 4,352 parameters
using fused AdamW: False
step 0: train loss 4.2708, val loss 4.2617
iter 0: loss 4.2768, time 69125.34ms, mfu -100.00%
iter 1: loss 4.1773, time 1085.87ms, mfu -100.00%
iter 2: loss 4.0071, time 1063.65ms, mfu -100.00%
iter 3: loss 3.8542, time 1073.03ms, mfu -100.00%
iter 4: loss 3.7368, time 1074.32ms, mfu -100.00%
iter 5: loss 3.6366, time 1071.55ms, mfu 0.04%
iter 6: loss 3.5994, time 1060.90ms, mfu 0.04%
iter 7: loss 3.5503, time 1061.51ms, mfu 0.04%
iter 8: loss 3.5238, time 1058.75ms, mfu 0.04%
iter 9: loss 3.5046, time 1084.63ms, mfu 0.04%
iter 10: loss 3.4607, time 1067.69ms, mfu 0.04%
iter 11: loss 3.4525, time 1069.12ms, mfu 0.04%
iter 12: loss 3.4310, time 1070.27ms, mfu 0.04%
iter 13: loss 3.4239, time 1071.66ms, mfu 0.04%
iter 14: loss 3.4062, time 1062.60ms, mfu 0.04%
iter 15: loss 3.3863, time 1083.65ms, mfu 0.04%
iter 16: loss 3.3577, time 1080.48ms, mfu 0.04%
iter 17: loss 3.3519, time 1078.74ms, mfu 0.04%
iter 18: loss 3.2827, time 1073.20ms, mfu 0.04%
iter 19: loss 4.3474, time 1084.98ms, mfu 0.04%
iter 20: loss 3.9890, time 1084.65ms, mfu 0.04%
iter 21: loss 3.2507, time 1076.88ms, mfu 0.04%
iter 22: loss 3.1245, time 1075.54ms, mfu 0.04%
iter 23: loss 3.0930, time 1094.28ms, mfu 0.04%
iter 24: loss 3.0810, time 1087.70ms, mfu 0.04%
iter 25: loss 3.0756, time 1075.12ms, mfu 0.04%
iter 26: loss 3.0184, time 1078.38ms, mfu 0.04%
iter 27: loss 2.9093, time 1075.77ms, mfu 0.04%
iter 28: loss 2.9023, time 1075.64ms, mfu 0.04%
iter 29: loss 2.8609, time 1086.87ms, mfu 0.04%
iter 30: loss 2.8483, time 1062.74ms, mfu 0.04%
iter 31: loss 2.8250, time 1073.08ms, mfu 0.04%
iter 32: loss 2.7751, time 1075.18ms, mfu 0.04%
iter 33: loss 2.7619, time 1077.74ms, mfu 0.04%
iter 34: loss 2.7399, time 1087.64ms, mfu 0.04%
iter 35: loss 2.7144, time 1063.86ms, mfu 0.04%
iter 36: loss 2.7480, time 1078.66ms, mfu 0.04%
iter 37: loss 2.7089, time 1065.49ms, mfu 0.04%
iter 38: loss 2.6486, time 1075.49ms, mfu 0.04%
iter 39: loss 2.7016, time 1098.09ms, mfu 0.04%
iter 40: loss 2.6718, time 1103.37ms, mfu 0.04%
iter 41: loss 2.6708, time 1070.75ms, mfu 0.04%
iter 42: loss 2.6097, time 1051.71ms, mfu 0.04%
iter 43: loss 2.6194, time 1076.70ms, mfu 0.04%
iter 44: loss 2.6376, time 1070.12ms, mfu 0.04%
iter 45: loss 2.6685, time 1043.76ms, mfu 0.04%
iter 46: loss 2.6360, time 1084.80ms, mfu 0.04%
iter 47: loss 2.6050, time 1031.16ms, mfu 0.04%
iter 48: loss 2.5968, time 1088.77ms, mfu 0.04%
iter 49: loss 2.5813, time 1075.65ms, mfu 0.04%
iter 50: loss 2.5897, time 1049.81ms, mfu 0.04%
iter 51: loss 2.5802, time 1077.08ms, mfu 0.04%
iter 52: loss 2.5650, time 1067.70ms, mfu 0.04%
iter 53: loss 2.5979, time 1058.81ms, mfu 0.04%
iter 54: loss 2.5855, time 1058.08ms, mfu 0.04%
iter 55: loss 2.5285, time 1065.62ms, mfu 0.04%
iter 56: loss 2.5711, time 1062.91ms, mfu 0.04%
iter 57: loss 2.5466, time 1064.76ms, mfu 0.04%
iter 58: loss 2.5446, time 1055.01ms, mfu 0.04%
iter 59: loss 2.5661, time 1045.31ms, mfu 0.04%
iter 60: loss 2.5774, time 1076.41ms, mfu 0.04%
iter 61: loss 2.5397, time 1058.95ms, mfu 0.04%
iter 62: loss 2.5339, time 1087.36ms, mfu 0.04%
iter 63: loss 2.5303, time 1062.78ms, mfu 0.04%
iter 64: loss 2.5223, time 1071.81ms, mfu 0.04%
iter 65: loss 2.5371, time 1083.46ms, mfu 0.04%
iter 66: loss 2.4786, time 1057.97ms, mfu 0.04%
iter 67: loss 2.5406, time 1070.71ms, mfu 0.04%
iter 68: loss 2.5035, time 1067.74ms, mfu 0.04%
iter 69: loss 2.5100, time 1067.13ms, mfu 0.04%
iter 70: loss 2.5349, time 1069.96ms, mfu 0.04%
iter 71: loss 2.4857, time 1051.58ms, mfu 0.04%
iter 72: loss 2.4845, time 1063.64ms, mfu 0.04%
iter 73: loss 2.5202, time 1054.41ms, mfu 0.04%
iter 74: loss 2.5280, time 1077.05ms, mfu 0.04%
iter 75: loss 2.5372, time 1077.90ms, mfu 0.04%
iter 76: loss 2.4622, time 1061.24ms, mfu 0.04%
iter 77: loss 2.5067, time 1053.91ms, mfu 0.04%
iter 78: loss 2.4888, time 1074.56ms, mfu 0.04%
iter 79: loss 2.4791, time 1058.17ms, mfu 0.04%
iter 80: loss 2.5018, time 1059.49ms, mfu 0.04%
iter 81: loss 2.5040, time 1061.00ms, mfu 0.04%
iter 82: loss 2.4627, time 1059.48ms, mfu 0.04%
iter 83: loss 2.4472, time 1058.63ms, mfu 0.04%
iter 84: loss 2.5069, time 1068.65ms, mfu 0.04%
iter 85: loss 2.4461, time 1076.15ms, mfu 0.04%
iter 86: loss 2.4709, time 1051.99ms, mfu 0.04%
iter 87: loss 2.4902, time 1078.28ms, mfu 0.04%
iter 88: loss 2.5156, time 1090.71ms, mfu 0.04%
iter 89: loss 2.4537, time 1070.16ms, mfu 0.04%
iter 90: loss 2.4793, time 1095.32ms, mfu 0.04%
iter 91: loss 2.4263, time 1093.89ms, mfu 0.04%
iter 92: loss 2.4509, time 1092.59ms, mfu 0.04%
iter 93: loss 2.4795, time 1069.66ms, mfu 0.04%
iter 94: loss 2.5130, time 1096.52ms, mfu 0.04%
iter 95: loss 2.4500, time 1092.71ms, mfu 0.04%
iter 96: loss 2.4715, time 1076.07ms, mfu 0.04%
iter 97: loss 2.4434, time 1072.88ms, mfu 0.04%
iter 98: loss 2.4352, time 1064.61ms, mfu 0.04%
iter 99: loss 2.3852, time 1070.49ms, mfu 0.04%
iter 100: loss 2.4955, time 1062.82ms, mfu 0.04%
iter 101: loss 2.4838, time 1066.14ms, mfu 0.04%
iter 102: loss 2.4476, time 1078.65ms, mfu 0.04%
iter 103: loss 2.4337, time 1068.26ms, mfu 0.04%
iter 104: loss 2.3877, time 1070.83ms, mfu 0.04%
iter 105: loss 2.4362, time 1078.06ms, mfu 0.04%
iter 106: loss 2.4685, time 1063.98ms, mfu 0.04%
iter 107: loss 2.4508, time 1061.72ms, mfu 0.04%
iter 108: loss 2.4338, time 1078.83ms, mfu 0.04%
iter 109: loss 2.4633, time 1073.79ms, mfu 0.04%
iter 110: loss 2.4729, time 1080.95ms, mfu 0.04%
iter 111: loss 2.4684, time 1071.36ms, mfu 0.04%
iter 112: loss 2.3997, time 1063.89ms, mfu 0.04%
iter 113: loss 2.4286, time 1068.23ms, mfu 0.04%
iter 114: loss 2.4785, time 1052.83ms, mfu 0.04%
iter 115: loss 2.4431, time 1065.75ms, mfu 0.04%
iter 116: loss 2.4172, time 1081.16ms, mfu 0.04%
iter 117: loss 2.3836, time 1064.70ms, mfu 0.04%
iter 118: loss 2.4527, time 1059.31ms, mfu 0.04%
iter 119: loss 2.4289, time 1061.57ms, mfu 0.04%
iter 120: loss 2.4098, time 1063.47ms, mfu 0.04%
iter 121: loss 2.4783, time 1080.85ms, mfu 0.04%
iter 122: loss 2.4256, time 1067.91ms, mfu 0.04%
iter 123: loss 2.4613, time 1066.74ms, mfu 0.04%
iter 124: loss 2.3911, time 1078.86ms, mfu 0.04%
iter 125: loss 2.4169, time 1057.96ms, mfu 0.04%
iter 126: loss 2.3680, time 1066.45ms, mfu 0.04%
iter 127: loss 2.3762, time 1065.85ms, mfu 0.04%
iter 128: loss 2.3907, time 1061.97ms, mfu 0.04%
iter 129: loss 2.3880, time 1071.30ms, mfu 0.04%
iter 130: loss 2.3957, time 1065.67ms, mfu 0.04%
iter 131: loss 2.3923, time 1069.31ms, mfu 0.04%
iter 132: loss 2.4014, time 1061.53ms, mfu 0.04%
iter 133: loss 2.3986, time 1074.02ms, mfu 0.04%
iter 134: loss 2.3641, time 1064.11ms, mfu 0.04%
iter 135: loss 2.3824, time 1058.17ms, mfu 0.04%
iter 136: loss 2.3250, time 1069.19ms, mfu 0.04%
iter 137: loss 2.3543, time 1073.45ms, mfu 0.04%
iter 138: loss 2.3872, time 1058.42ms, mfu 0.04%
iter 139: loss 2.3826, time 1065.54ms, mfu 0.04%
iter 140: loss 2.3443, time 1057.09ms, mfu 0.04%
iter 141: loss 2.3542, time 1064.04ms, mfu 0.04%
iter 142: loss 2.3619, time 1074.06ms, mfu 0.04%
iter 143: loss 2.3748, time 1101.64ms, mfu 0.04%
iter 144: loss 2.3755, time 1089.74ms, mfu 0.04%
iter 145: loss 2.3574, time 1079.40ms, mfu 0.04%
iter 146: loss 2.3735, time 1080.83ms, mfu 0.04%
iter 147: loss 2.3739, time 1073.74ms, mfu 0.04%
iter 148: loss 2.3722, time 1099.36ms, mfu 0.04%
iter 149: loss 2.3236, time 1082.52ms, mfu 0.04%
iter 150: loss 2.4035, time 1090.71ms, mfu 0.04%
iter 151: loss 2.3540, time 1085.38ms, mfu 0.04%
iter 152: loss 2.3428, time 1098.26ms, mfu 0.04%
iter 153: loss 2.3408, time 1081.57ms, mfu 0.04%
iter 154: loss 2.3307, time 1091.14ms, mfu 0.04%
iter 155: loss 2.3001, time 1093.54ms, mfu 0.04%
iter 156: loss 2.3363, time 1089.66ms, mfu 0.04%
iter 157: loss 2.3058, time 1085.43ms, mfu 0.04%
iter 158: loss 2.3746, time 1076.96ms, mfu 0.04%
iter 159: loss 2.3986, time 1089.64ms, mfu 0.04%
iter 160: loss 2.3531, time 1085.17ms, mfu 0.04%
iter 161: loss 2.3067, time 1092.51ms, mfu 0.04%
iter 162: loss 2.3181, time 1086.16ms, mfu 0.04%
iter 163: loss 2.3053, time 1071.97ms, mfu 0.04%
iter 164: loss 2.3458, time 1070.47ms, mfu 0.04%
iter 165: loss 2.3227, time 1084.77ms, mfu 0.04%
iter 166: loss 2.3122, time 1088.68ms, mfu 0.04%
iter 167: loss 2.3500, time 1086.85ms, mfu 0.04%
iter 168: loss 2.3664, time 1066.77ms, mfu 0.04%
iter 169: loss 2.2810, time 1069.18ms, mfu 0.04%
iter 170: loss 2.3284, time 1059.39ms, mfu 0.04%
iter 171: loss 2.3078, time 1092.26ms, mfu 0.04%
iter 172: loss 2.3198, time 1095.11ms, mfu 0.04%
iter 173: loss 2.3692, time 1050.95ms, mfu 0.04%
iter 174: loss 2.3001, time 1087.06ms, mfu 0.04%
iter 175: loss 2.2674, time 1065.24ms, mfu 0.04%
iter 176: loss 2.2703, time 1075.46ms, mfu 0.04%
iter 177: loss 2.3203, time 1065.69ms, mfu 0.04%
iter 178: loss 2.2772, time 1058.74ms, mfu 0.04%
iter 179: loss 2.2841, time 1066.91ms, mfu 0.04%
iter 180: loss 2.3177, time 1050.30ms, mfu 0.04%
iter 181: loss 2.2525, time 1080.90ms, mfu 0.04%
iter 182: loss 2.2941, time 1070.14ms, mfu 0.04%
iter 183: loss 2.2711, time 1059.50ms, mfu 0.04%
iter 184: loss 2.2286, time 1062.76ms, mfu 0.04%
iter 185: loss 2.2856, time 1066.82ms, mfu 0.04%
iter 186: loss 2.2646, time 1033.62ms, mfu 0.04%
iter 187: loss 2.2435, time 1091.95ms, mfu 0.04%
iter 188: loss 2.2530, time 1067.65ms, mfu 0.04%
iter 189: loss 2.2464, time 1064.38ms, mfu 0.04%
