C:\Users\vinay\Downloads\video_pexels\videos\tensorflow\nanoGPTV3\train.py:209: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
C:\Users\vinay\Downloads\video_pexels\videos\venv\Lib\site-packages\torch\amp\grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 100
Overriding: log_interval = 1
Overriding: block_size = 128
Overriding: batch_size = 24
Overriding: n_layer = 6
Overriding: n_head = 6
Overriding: n_embd = 192
Overriding: max_iters = 4000
Overriding: lr_decay_iters = 4000
Overriding: dropout = 0.0
tokens per iteration will be: 3,072
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 2.67M
num decayed parameter tensors: 26, with 2,691,264 parameters
num non-decayed parameter tensors: 13, with 2,496 parameters
using fused AdamW: False
step 0: train loss 4.2076, val loss 4.2046
iter 0: loss 4.2121, time 23496.89ms, mfu -100.00%
iter 1: loss 4.1620, time 365.14ms, mfu -100.00%
iter 2: loss 4.0601, time 349.71ms, mfu -100.00%
iter 3: loss 3.9453, time 348.07ms, mfu -100.00%
iter 4: loss 3.8133, time 353.64ms, mfu -100.00%
iter 5: loss 3.6922, time 360.78ms, mfu 0.05%
iter 6: loss 3.6292, time 365.49ms, mfu 0.05%
iter 7: loss 3.5579, time 364.55ms, mfu 0.05%
iter 8: loss 3.5264, time 347.64ms, mfu 0.05%
iter 9: loss 3.4996, time 349.10ms, mfu 0.05%
iter 10: loss 3.5036, time 350.58ms, mfu 0.05%
iter 11: loss 3.4708, time 332.48ms, mfu 0.05%
iter 12: loss 3.4002, time 349.64ms, mfu 0.05%
iter 13: loss 3.3538, time 349.01ms, mfu 0.05%
iter 14: loss 3.3213, time 413.16ms, mfu 0.05%
iter 15: loss 3.2605, time 365.22ms, mfu 0.05%
iter 16: loss 3.2248, time 394.63ms, mfu 0.05%
iter 17: loss 3.2024, time 395.37ms, mfu 0.05%
iter 18: loss 3.1804, time 333.47ms, mfu 0.05%
iter 19: loss 3.1445, time 365.35ms, mfu 0.05%
iter 20: loss 3.0910, time 333.78ms, mfu 0.05%
iter 21: loss 3.0545, time 365.36ms, mfu 0.05%
iter 22: loss 3.0489, time 365.72ms, mfu 0.05%
iter 23: loss 3.0454, time 348.15ms, mfu 0.05%
iter 24: loss 3.0182, time 349.29ms, mfu 0.05%
iter 25: loss 2.9901, time 365.09ms, mfu 0.05%
iter 26: loss 2.9709, time 349.19ms, mfu 0.05%
iter 27: loss 2.9056, time 350.17ms, mfu 0.05%
iter 28: loss 2.8986, time 349.39ms, mfu 0.05%
iter 29: loss 2.8875, time 331.59ms, mfu 0.05%
iter 30: loss 2.8631, time 253.36ms, mfu 0.05%
iter 31: loss 2.8836, time 238.05ms, mfu 0.05%
iter 32: loss 2.8571, time 222.48ms, mfu 0.06%
iter 33: loss 2.8938, time 268.50ms, mfu 0.06%
iter 34: loss 2.8404, time 269.86ms, mfu 0.06%
iter 35: loss 2.8241, time 254.27ms, mfu 0.06%
iter 36: loss 2.7840, time 270.13ms, mfu 0.06%
iter 37: loss 2.7856, time 238.23ms, mfu 0.06%
iter 38: loss 2.7403, time 261.66ms, mfu 0.06%
iter 39: loss 2.7370, time 451.91ms, mfu 0.06%
iter 40: loss 2.7317, time 268.01ms, mfu 0.06%
iter 41: loss 2.6972, time 285.56ms, mfu 0.06%
iter 42: loss 2.7216, time 252.46ms, mfu 0.06%
iter 43: loss 2.7297, time 253.88ms, mfu 0.06%
iter 44: loss 2.7183, time 221.90ms, mfu 0.06%
iter 45: loss 2.6905, time 238.28ms, mfu 0.06%
iter 46: loss 2.6922, time 237.69ms, mfu 0.07%
iter 47: loss 2.6443, time 263.59ms, mfu 0.07%
iter 48: loss 2.6670, time 243.30ms, mfu 0.07%
iter 49: loss 2.6569, time 237.40ms, mfu 0.07%
iter 50: loss 2.6589, time 224.41ms, mfu 0.07%
iter 51: loss 2.6435, time 236.37ms, mfu 0.07%
iter 52: loss 2.6129, time 221.56ms, mfu 0.07%
iter 53: loss 2.5976, time 233.28ms, mfu 0.07%
iter 54: loss 2.6451, time 224.58ms, mfu 0.07%
iter 55: loss 2.6408, time 222.58ms, mfu 0.07%
iter 56: loss 2.5699, time 237.75ms, mfu 0.07%
iter 57: loss 2.6197, time 237.82ms, mfu 0.07%
iter 58: loss 2.5792, time 221.63ms, mfu 0.07%
iter 59: loss 2.5958, time 237.37ms, mfu 0.07%
iter 60: loss 2.5752, time 220.87ms, mfu 0.07%
iter 61: loss 2.6378, time 237.46ms, mfu 0.07%
iter 62: loss 2.5801, time 221.29ms, mfu 0.07%
iter 63: loss 2.5744, time 222.27ms, mfu 0.07%
iter 64: loss 2.5684, time 237.29ms, mfu 0.07%
iter 65: loss 2.5689, time 221.87ms, mfu 0.07%
iter 66: loss 2.5676, time 238.39ms, mfu 0.07%
iter 67: loss 2.5766, time 222.46ms, mfu 0.08%
iter 68: loss 2.5505, time 237.88ms, mfu 0.08%
iter 69: loss 2.5498, time 222.57ms, mfu 0.08%
iter 70: loss 2.6077, time 237.92ms, mfu 0.08%
iter 71: loss 2.5470, time 222.18ms, mfu 0.08%
iter 72: loss 2.5607, time 237.54ms, mfu 0.08%
iter 73: loss 2.5461, time 222.16ms, mfu 0.08%
iter 74: loss 2.5543, time 224.78ms, mfu 0.08%
iter 75: loss 2.5604, time 237.33ms, mfu 0.08%
iter 76: loss 2.5272, time 238.28ms, mfu 0.08%
iter 77: loss 2.5457, time 221.75ms, mfu 0.08%
iter 78: loss 2.5435, time 237.46ms, mfu 0.08%
iter 79: loss 2.5457, time 222.11ms, mfu 0.08%
iter 80: loss 2.5204, time 222.22ms, mfu 0.08%
iter 81: loss 2.5253, time 253.69ms, mfu 0.08%
iter 82: loss 2.5602, time 221.59ms, mfu 0.08%
iter 83: loss 2.5202, time 238.27ms, mfu 0.08%
iter 84: loss 2.5165, time 221.95ms, mfu 0.08%
iter 85: loss 2.5439, time 222.50ms, mfu 0.08%
iter 86: loss 2.5312, time 238.21ms, mfu 0.08%
iter 87: loss 2.5640, time 221.90ms, mfu 0.08%
iter 88: loss 2.5226, time 237.22ms, mfu 0.08%
iter 89: loss 2.5000, time 237.23ms, mfu 0.08%
iter 90: loss 2.5346, time 221.46ms, mfu 0.08%
iter 91: loss 2.5144, time 237.70ms, mfu 0.08%
iter 92: loss 2.4877, time 239.27ms, mfu 0.08%
iter 93: loss 2.5502, time 221.52ms, mfu 0.08%
iter 94: loss 2.5434, time 236.74ms, mfu 0.08%
iter 95: loss 2.5114, time 222.01ms, mfu 0.08%
iter 96: loss 2.4956, time 237.81ms, mfu 0.08%
iter 97: loss 2.5000, time 221.63ms, mfu 0.08%
iter 98: loss 2.4998, time 238.12ms, mfu 0.08%
iter 99: loss 2.5543, time 222.34ms, mfu 0.08%
iter 100: loss 2.4775, time 222.22ms, mfu 0.08%
iter 101: loss 2.4697, time 238.00ms, mfu 0.08%
iter 102: loss 2.5228, time 222.67ms, mfu 0.08%
iter 103: loss 2.4808, time 222.31ms, mfu 0.08%
iter 104: loss 2.4614, time 237.94ms, mfu 0.08%
iter 105: loss 2.5121, time 222.57ms, mfu 0.08%
iter 106: loss 2.4938, time 221.45ms, mfu 0.08%
iter 107: loss 2.4848, time 222.70ms, mfu 0.08%
iter 108: loss 2.4891, time 252.61ms, mfu 0.08%
iter 109: loss 2.5057, time 221.66ms, mfu 0.08%
iter 110: loss 2.4219, time 222.56ms, mfu 0.08%
iter 111: loss 2.4811, time 236.71ms, mfu 0.08%
iter 112: loss 2.4397, time 237.26ms, mfu 0.08%
iter 113: loss 2.5338, time 221.95ms, mfu 0.08%
iter 114: loss 2.4519, time 222.40ms, mfu 0.08%
iter 115: loss 2.4561, time 222.39ms, mfu 0.08%
iter 116: loss 2.4972, time 222.60ms, mfu 0.08%
iter 117: loss 2.5076, time 222.64ms, mfu 0.08%
iter 118: loss 2.4495, time 237.39ms, mfu 0.08%
iter 119: loss 2.4635, time 221.96ms, mfu 0.08%
iter 120: loss 2.4193, time 222.34ms, mfu 0.08%
iter 121: loss 2.4700, time 223.58ms, mfu 0.08%
iter 122: loss 2.4507, time 222.52ms, mfu 0.08%
iter 123: loss 2.4574, time 221.59ms, mfu 0.08%
iter 124: loss 2.4426, time 221.83ms, mfu 0.08%
iter 125: loss 2.4536, time 237.73ms, mfu 0.08%
iter 126: loss 2.4222, time 221.69ms, mfu 0.08%
