iter 71: loss 2.7527, time 76.95ms, mfu 0.02%
iter 72: loss 2.7287, time 70.63ms, mfu 0.02%
iter 73: loss 2.6896, time 73.12ms, mfu 0.02%
iter 74: loss 2.7631, time 79.29ms, mfu 0.02%
iter 75: loss 2.7495, time 62.87ms, mfu 0.02%
iter 76: loss 2.7453, time 78.83ms, mfu 0.02%
iter 77: loss 2.6988, time 78.79ms, mfu 0.02%
iter 78: loss 2.6812, time 63.08ms, mfu 0.02%
iter 79: loss 2.7297, time 78.93ms, mfu 0.02%
iter 80: loss 2.6588, time 78.80ms, mfu 0.02%
iter 81: loss 2.6910, time 63.10ms, mfu 0.02%
iter 82: loss 2.6079, time 79.44ms, mfu 0.02%
iter 83: loss 2.6595, time 78.69ms, mfu 0.02%
iter 84: loss 2.7846, time 63.35ms, mfu 0.02%
iter 85: loss 2.7175, time 79.21ms, mfu 0.02%
iter 86: loss 2.7370, time 78.53ms, mfu 0.02%
iter 87: loss 2.6299, time 63.19ms, mfu 0.02%
iter 88: loss 2.6460, time 78.78ms, mfu 0.02%
iter 89: loss 2.6500, time 78.64ms, mfu 0.02%
iter 90: loss 2.5905, time 79.24ms, mfu 0.02%
iter 91: loss 2.6434, time 62.79ms, mfu 0.02%
iter 92: loss 2.6466, time 85.51ms, mfu 0.02%
iter 93: loss 2.6545, time 72.56ms, mfu 0.02%
iter 94: loss 2.6315, time 73.48ms, mfu 0.02%
iter 95: loss 2.5948, time 84.76ms, mfu 0.02%
iter 96: loss 2.5292, time 78.90ms, mfu 0.02%
iter 97: loss 2.6814, time 79.39ms, mfu 0.02%
iter 98: loss 2.7367, time 77.99ms, mfu 0.02%
iter 99: loss 2.5714, time 78.92ms, mfu 0.02%
iter 100: loss 2.5568, time 78.66ms, mfu 0.02%
iter 101: loss 2.6575, time 78.97ms, mfu 0.02%
iter 102: loss 2.5252, time 79.12ms, mfu 0.02%
iter 103: loss 2.7150, time 94.73ms, mfu 0.02%
iter 104: loss 2.5385, time 78.75ms, mfu 0.02%
iter 105: loss 2.4750, time 79.09ms, mfu 0.02%
iter 106: loss 2.5665, time 94.22ms, mfu 0.02%
iter 107: loss 2.6131, time 79.02ms, mfu 0.02%
iter 108: loss 2.5666, time 78.45ms, mfu 0.02%
iter 109: loss 2.6103, time 62.88ms, mfu 0.02%
iter 110: loss 2.4993, time 94.43ms, mfu 0.02%
iter 111: loss 2.5082, time 63.70ms, mfu 0.02%
iter 112: loss 2.6021, time 63.07ms, mfu 0.02%
iter 113: loss 2.6015, time 63.63ms, mfu 0.02%
iter 114: loss 2.6331, time 64.02ms, mfu 0.02%
iter 115: loss 2.5813, time 63.51ms, mfu 0.02%
iter 116: loss 2.5366, time 63.63ms, mfu 0.02%
iter 117: loss 2.6893, time 63.51ms, mfu 0.02%
iter 118: loss 2.5526, time 63.91ms, mfu 0.02%
iter 119: loss 2.5526, time 79.61ms, mfu 0.02%
iter 120: loss 2.5363, time 63.18ms, mfu 0.02%
iter 121: loss 2.6001, time 47.90ms, mfu 0.02%
iter 122: loss 2.5562, time 63.26ms, mfu 0.02%
iter 123: loss 2.4759, time 63.56ms, mfu 0.02%
iter 124: loss 2.5661, time 63.60ms, mfu 0.02%
iter 125: loss 2.5852, time 64.33ms, mfu 0.02%
iter 126: loss 2.6290, time 63.23ms, mfu 0.02%
iter 127: loss 2.6011, time 85.04ms, mfu 0.02%
iter 128: loss 2.4603, time 73.29ms, mfu 0.02%
iter 129: loss 2.4922, time 78.78ms, mfu 0.02%
iter 130: loss 2.5562, time 79.35ms, mfu 0.02%
iter 131: loss 2.5554, time 79.19ms, mfu 0.02%
iter 132: loss 2.4927, time 94.75ms, mfu 0.02%
iter 133: loss 2.5319, time 125.61ms, mfu 0.02%
iter 134: loss 2.4867, time 110.40ms, mfu 0.02%
iter 135: loss 2.4798, time 110.81ms, mfu 0.02%
iter 136: loss 2.5721, time 110.16ms, mfu 0.02%
iter 137: loss 2.5311, time 126.94ms, mfu 0.02%
iter 138: loss 2.5520, time 110.39ms, mfu 0.02%
iter 139: loss 2.5385, time 78.58ms, mfu 0.02%
iter 140: loss 2.5609, time 78.85ms, mfu 0.02%
iter 141: loss 2.5851, time 79.07ms, mfu 0.02%
iter 142: loss 2.4895, time 62.98ms, mfu 0.02%
iter 143: loss 2.5476, time 78.67ms, mfu 0.02%
iter 144: loss 2.5676, time 79.23ms, mfu 0.02%
iter 145: loss 2.4666, time 78.62ms, mfu 0.02%
iter 146: loss 2.4498, time 83.68ms, mfu 0.02%
iter 147: loss 2.4305, time 74.13ms, mfu 0.02%
iter 148: loss 2.6061, time 62.82ms, mfu 0.02%
iter 149: loss 2.5357, time 78.94ms, mfu 0.02%
iter 150: loss 2.4484, time 62.73ms, mfu 0.02%
iter 151: loss 2.5231, time 78.94ms, mfu 0.02%
iter 152: loss 2.4842, time 67.76ms, mfu 0.02%
iter 153: loss 2.4635, time 58.22ms, mfu 0.02%
iter 154: loss 2.4863, time 78.52ms, mfu 0.02%
iter 155: loss 2.5671, time 67.87ms, mfu 0.02%
iter 156: loss 2.4497, time 58.06ms, mfu 0.02%
iter 157: loss 2.5543, time 79.26ms, mfu 0.02%
iter 158: loss 2.4478, time 62.48ms, mfu 0.02%
iter 159: loss 2.5122, time 63.04ms, mfu 0.02%
iter 160: loss 2.4399, time 64.72ms, mfu 0.02%
iter 161: loss 2.5251, time 76.65ms, mfu 0.02%
