C:\Users\vinay\Downloads\video_pexels\videos\tensorflow\nanoGPTV10\train.py:209: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
C:\Users\vinay\Downloads\video_pexels\videos\venv\Lib\site-packages\torch\amp\grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 100
Overriding: log_interval = 1
Overriding: block_size = 128
Overriding: batch_size = 24
Overriding: n_layer = 12
Overriding: n_head = 12
Overriding: n_embd = 384
Overriding: max_iters = 8000
Overriding: lr_decay_iters = 8000
Overriding: dropout = 0.0
tokens per iteration will be: 3,072
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 21.27M
num decayed parameter tensors: 50, with 21,307,776 parameters
num non-decayed parameter tensors: 25, with 9,600 parameters
using fused AdamW: False
step 0: train loss 4.2484, val loss 4.2445
iter 0: loss 4.2517, time 239968.41ms, mfu -100.00%
iter 1: loss 3.8611, time 8225.91ms, mfu -100.00%
iter 2: loss 3.6056, time 8273.51ms, mfu -100.00%
iter 3: loss 3.5092, time 8300.50ms, mfu -100.00%
iter 4: loss 3.3808, time 8491.42ms, mfu -100.00%
iter 5: loss 3.3678, time 8386.23ms, mfu 0.02%
iter 6: loss 3.3479, time 8212.03ms, mfu 0.02%
iter 7: loss 3.2680, time 8253.11ms, mfu 0.02%
iter 8: loss 3.2259, time 8103.76ms, mfu 0.02%
iter 9: loss 3.1305, time 8298.67ms, mfu 0.02%
iter 10: loss 3.2338, time 8336.74ms, mfu 0.02%
iter 11: loss 3.0533, time 8167.04ms, mfu 0.02%
iter 12: loss 2.9771, time 8126.85ms, mfu 0.02%
iter 13: loss 2.8985, time 8215.04ms, mfu 0.02%
iter 14: loss 2.8560, time 8198.64ms, mfu 0.02%
iter 15: loss 2.7839, time 8535.77ms, mfu 0.02%
iter 16: loss 2.7699, time 8497.53ms, mfu 0.02%
iter 17: loss 2.7832, time 8391.53ms, mfu 0.02%
iter 18: loss 2.8232, time 8532.32ms, mfu 0.02%
iter 19: loss 2.7574, time 7997.50ms, mfu 0.02%
iter 20: loss 2.7194, time 6125.56ms, mfu 0.02%
iter 21: loss 2.6998, time 6032.56ms, mfu 0.02%
iter 22: loss 2.7244, time 6106.81ms, mfu 0.02%
iter 23: loss 2.6429, time 7059.34ms, mfu 0.02%
iter 24: loss 2.6542, time 8700.46ms, mfu 0.02%
iter 25: loss 2.6671, time 8759.75ms, mfu 0.02%
iter 26: loss 2.6396, time 8730.77ms, mfu 0.02%
iter 27: loss 2.6443, time 8753.15ms, mfu 0.02%
iter 28: loss 2.5679, time 8628.85ms, mfu 0.02%
iter 29: loss 2.5768, time 8826.56ms, mfu 0.02%
iter 30: loss 2.6188, time 8927.82ms, mfu 0.02%
iter 31: loss 2.5635, time 8726.54ms, mfu 0.02%
iter 32: loss 2.5567, time 6848.79ms, mfu 0.02%
iter 33: loss 2.5557, time 6057.77ms, mfu 0.02%
iter 34: loss 2.5547, time 5907.12ms, mfu 0.02%
iter 35: loss 2.5564, time 5660.50ms, mfu 0.02%
iter 36: loss 2.5727, time 5626.03ms, mfu 0.02%
iter 37: loss 2.5516, time 6103.50ms, mfu 0.02%
iter 38: loss 2.5628, time 5873.66ms, mfu 0.02%
iter 39: loss 2.5607, time 5743.35ms, mfu 0.02%
iter 40: loss 2.5058, time 5979.46ms, mfu 0.02%
iter 41: loss 2.5735, time 6174.94ms, mfu 0.02%
iter 42: loss 2.5754, time 6217.02ms, mfu 0.02%
iter 43: loss 2.5286, time 6299.88ms, mfu 0.02%
iter 44: loss 2.5469, time 6650.28ms, mfu 0.02%
iter 45: loss 2.5277, time 8685.37ms, mfu 0.02%
iter 46: loss 2.5386, time 10932.52ms, mfu 0.02%
iter 47: loss 2.5233, time 12069.56ms, mfu 0.02%
iter 48: loss 2.5183, time 6039.20ms, mfu 0.02%
iter 49: loss 2.5640, time 5073.41ms, mfu 0.02%
iter 50: loss 2.5542, time 9516.82ms, mfu 0.02%
iter 51: loss 2.5557, time 9377.81ms, mfu 0.02%
iter 52: loss 2.5570, time 9229.88ms, mfu 0.02%
iter 53: loss 2.5751, time 9462.72ms, mfu 0.02%
iter 54: loss 2.4985, time 9406.60ms, mfu 0.02%
iter 55: loss 2.5055, time 9546.78ms, mfu 0.02%
iter 56: loss 2.5224, time 9395.68ms, mfu 0.02%
iter 57: loss 2.5084, time 8996.22ms, mfu 0.02%
iter 58: loss 2.4796, time 9118.58ms, mfu 0.02%
iter 59: loss 2.5695, time 9051.78ms, mfu 0.02%
iter 60: loss 2.5003, time 9224.50ms, mfu 0.02%
iter 61: loss 2.5123, time 9356.10ms, mfu 0.02%
iter 62: loss 2.5308, time 9258.40ms, mfu 0.02%
iter 63: loss 2.5017, time 9306.68ms, mfu 0.02%
iter 64: loss 2.4951, time 9211.04ms, mfu 0.02%
iter 65: loss 2.4630, time 9280.30ms, mfu 0.02%
iter 66: loss 2.5042, time 9122.47ms, mfu 0.02%
iter 67: loss 2.5212, time 9444.51ms, mfu 0.02%
iter 68: loss 2.4830, time 9467.34ms, mfu 0.01%
iter 69: loss 2.5052, time 9235.15ms, mfu 0.01%
iter 70: loss 2.4767, time 9578.36ms, mfu 0.01%
iter 71: loss 2.4567, time 9311.36ms, mfu 0.01%
iter 72: loss 2.4654, time 9231.98ms, mfu 0.01%
