iter 71: loss 2.5459, time 442.52ms, mfu 0.09%
iter 72: loss 2.5006, time 445.07ms, mfu 0.09%
iter 73: loss 2.5414, time 457.62ms, mfu 0.09%
iter 74: loss 2.4929, time 442.95ms, mfu 0.09%
iter 75: loss 2.5088, time 458.17ms, mfu 0.09%
iter 76: loss 2.5029, time 441.13ms, mfu 0.09%
iter 77: loss 2.5640, time 443.11ms, mfu 0.09%
iter 78: loss 2.5263, time 442.07ms, mfu 0.09%
iter 79: loss 2.5219, time 458.99ms, mfu 0.09%
iter 80: loss 2.5821, time 459.17ms, mfu 0.09%
iter 81: loss 2.5040, time 475.50ms, mfu 0.09%
iter 82: loss 2.5231, time 472.16ms, mfu 0.09%
iter 83: loss 2.5595, time 474.42ms, mfu 0.09%
iter 84: loss 2.5043, time 489.83ms, mfu 0.09%
iter 85: loss 2.4895, time 478.11ms, mfu 0.09%
iter 86: loss 2.4950, time 472.82ms, mfu 0.09%
iter 87: loss 2.5148, time 476.42ms, mfu 0.09%
iter 88: loss 2.5010, time 460.82ms, mfu 0.09%
iter 89: loss 2.4739, time 504.79ms, mfu 0.09%
iter 90: loss 2.5355, time 475.85ms, mfu 0.09%
iter 91: loss 2.4733, time 444.79ms, mfu 0.09%
iter 92: loss 2.4947, time 458.68ms, mfu 0.09%
iter 93: loss 2.4456, time 475.38ms, mfu 0.09%
iter 94: loss 2.4740, time 474.95ms, mfu 0.09%
iter 95: loss 2.4973, time 488.93ms, mfu 0.09%
iter 96: loss 2.5013, time 488.74ms, mfu 0.09%
iter 97: loss 2.4713, time 472.35ms, mfu 0.09%
iter 98: loss 2.4311, time 459.38ms, mfu 0.09%
iter 99: loss 2.4774, time 475.24ms, mfu 0.09%
iter 100: loss 2.4326, time 473.94ms, mfu 0.09%
iter 101: loss 2.4566, time 490.55ms, mfu 0.09%
iter 102: loss 2.4914, time 476.00ms, mfu 0.09%
iter 103: loss 2.4600, time 491.58ms, mfu 0.09%
iter 104: loss 2.4938, time 503.31ms, mfu 0.08%
iter 105: loss 2.4631, time 474.86ms, mfu 0.08%
iter 106: loss 2.4880, time 473.47ms, mfu 0.08%
iter 107: loss 2.5043, time 472.68ms, mfu 0.08%
iter 108: loss 2.4961, time 474.97ms, mfu 0.08%
iter 109: loss 2.4739, time 474.75ms, mfu 0.08%
iter 110: loss 2.4353, time 473.85ms, mfu 0.08%
iter 111: loss 2.5390, time 459.91ms, mfu 0.09%
iter 112: loss 2.4945, time 474.91ms, mfu 0.09%
iter 113: loss 2.5118, time 476.40ms, mfu 0.09%
iter 114: loss 2.5017, time 458.33ms, mfu 0.09%
iter 115: loss 2.4978, time 474.30ms, mfu 0.09%
iter 116: loss 2.5339, time 473.55ms, mfu 0.09%
iter 117: loss 2.4410, time 475.85ms, mfu 0.09%
iter 118: loss 2.4195, time 473.36ms, mfu 0.09%
iter 119: loss 2.4435, time 464.96ms, mfu 0.09%
iter 120: loss 2.4490, time 468.93ms, mfu 0.09%
iter 121: loss 2.4526, time 476.05ms, mfu 0.09%
iter 122: loss 2.4602, time 476.19ms, mfu 0.09%
iter 123: loss 2.4433, time 489.87ms, mfu 0.09%
iter 124: loss 2.4512, time 490.73ms, mfu 0.08%
iter 125: loss 2.4246, time 473.72ms, mfu 0.08%
iter 126: loss 2.4469, time 489.89ms, mfu 0.08%
iter 127: loss 2.4648, time 473.65ms, mfu 0.08%
iter 128: loss 2.4073, time 491.54ms, mfu 0.08%
iter 129: loss 2.4783, time 474.44ms, mfu 0.08%
iter 130: loss 2.4266, time 473.61ms, mfu 0.08%
iter 131: loss 2.4622, time 490.21ms, mfu 0.08%
iter 132: loss 2.4527, time 475.86ms, mfu 0.08%
iter 133: loss 2.3971, time 459.52ms, mfu 0.08%
iter 134: loss 2.4344, time 460.98ms, mfu 0.09%
iter 135: loss 2.4278, time 458.56ms, mfu 0.09%
iter 136: loss 2.3947, time 459.09ms, mfu 0.09%
iter 137: loss 2.4028, time 475.71ms, mfu 0.09%
iter 138: loss 2.3876, time 459.46ms, mfu 0.09%
iter 139: loss 2.4255, time 444.82ms, mfu 0.09%
iter 140: loss 2.4237, time 475.50ms, mfu 0.09%
