iter 71: loss 2.4887, time 474.86ms, mfu 0.08%
iter 72: loss 2.4729, time 475.93ms, mfu 0.09%
iter 73: loss 2.5255, time 493.68ms, mfu 0.08%
iter 74: loss 2.5180, time 488.54ms, mfu 0.08%
iter 75: loss 2.5383, time 473.93ms, mfu 0.09%
iter 76: loss 2.4591, time 492.23ms, mfu 0.08%
iter 77: loss 2.5044, time 475.89ms, mfu 0.09%
iter 78: loss 2.5084, time 489.13ms, mfu 0.08%
iter 79: loss 2.4817, time 474.27ms, mfu 0.09%
iter 80: loss 2.4966, time 492.02ms, mfu 0.08%
iter 81: loss 2.5193, time 474.28ms, mfu 0.09%
iter 82: loss 2.4548, time 490.88ms, mfu 0.09%
iter 83: loss 2.4626, time 476.51ms, mfu 0.09%
iter 84: loss 2.5018, time 475.87ms, mfu 0.09%
iter 85: loss 2.4497, time 475.74ms, mfu 0.09%
iter 86: loss 2.4649, time 475.64ms, mfu 0.09%
iter 87: loss 2.4822, time 491.99ms, mfu 0.09%
iter 88: loss 2.5141, time 491.51ms, mfu 0.09%
iter 89: loss 2.4643, time 490.89ms, mfu 0.09%
iter 90: loss 2.4668, time 491.35ms, mfu 0.08%
iter 91: loss 2.4408, time 491.43ms, mfu 0.08%
iter 92: loss 2.4628, time 490.82ms, mfu 0.08%
iter 93: loss 2.4898, time 489.61ms, mfu 0.08%
iter 94: loss 2.4912, time 477.07ms, mfu 0.08%
iter 95: loss 2.4451, time 491.11ms, mfu 0.08%
iter 96: loss 2.4536, time 490.15ms, mfu 0.08%
iter 97: loss 2.4481, time 491.11ms, mfu 0.08%
iter 98: loss 2.4338, time 473.82ms, mfu 0.08%
iter 99: loss 2.3873, time 490.31ms, mfu 0.08%
iter 100: loss 2.4818, time 474.28ms, mfu 0.08%
iter 101: loss 2.4730, time 474.37ms, mfu 0.09%
iter 102: loss 2.4424, time 474.85ms, mfu 0.09%
iter 103: loss 2.4240, time 477.34ms, mfu 0.09%
iter 104: loss 2.3732, time 506.34ms, mfu 0.08%
iter 105: loss 2.4298, time 474.55ms, mfu 0.09%
iter 106: loss 2.4660, time 489.40ms, mfu 0.09%
iter 107: loss 2.4433, time 490.94ms, mfu 0.08%
iter 108: loss 2.4036, time 490.44ms, mfu 0.08%
iter 109: loss 2.4636, time 490.20ms, mfu 0.08%
iter 110: loss 2.4698, time 489.92ms, mfu 0.08%
iter 111: loss 2.4842, time 475.79ms, mfu 0.08%
iter 112: loss 2.3982, time 490.63ms, mfu 0.08%
iter 113: loss 2.4367, time 488.92ms, mfu 0.08%
iter 114: loss 2.4662, time 491.59ms, mfu 0.08%
iter 115: loss 2.4510, time 476.26ms, mfu 0.08%
iter 116: loss 2.4040, time 490.98ms, mfu 0.08%
iter 117: loss 2.4077, time 506.00ms, mfu 0.08%
iter 118: loss 2.4370, time 491.00ms, mfu 0.08%
iter 119: loss 2.4286, time 475.89ms, mfu 0.08%
iter 120: loss 2.4047, time 492.55ms, mfu 0.08%
iter 121: loss 2.4510, time 475.53ms, mfu 0.08%
iter 122: loss 2.3978, time 491.14ms, mfu 0.08%
iter 123: loss 2.4392, time 491.62ms, mfu 0.08%
iter 124: loss 2.3712, time 475.96ms, mfu 0.08%
iter 125: loss 2.3981, time 476.06ms, mfu 0.08%
iter 126: loss 2.3717, time 490.58ms, mfu 0.08%
iter 127: loss 2.3769, time 490.60ms, mfu 0.08%
iter 128: loss 2.4022, time 490.70ms, mfu 0.08%
iter 129: loss 2.3775, time 505.98ms, mfu 0.08%
iter 130: loss 2.4016, time 505.43ms, mfu 0.08%
iter 131: loss 2.4074, time 491.73ms, mfu 0.08%
iter 132: loss 2.4248, time 504.04ms, mfu 0.08%
iter 133: loss 2.4022, time 490.58ms, mfu 0.08%
iter 134: loss 2.3821, time 506.22ms, mfu 0.08%
iter 135: loss 2.3860, time 490.03ms, mfu 0.08%
iter 136: loss 2.3200, time 507.26ms, mfu 0.08%
iter 137: loss 2.3530, time 507.01ms, mfu 0.08%
iter 138: loss 2.3858, time 491.50ms, mfu 0.08%
iter 139: loss 2.3864, time 490.61ms, mfu 0.08%
iter 140: loss 2.3457, time 505.88ms, mfu 0.08%
iter 141: loss 2.3489, time 523.97ms, mfu 0.08%
iter 142: loss 2.3577, time 507.04ms, mfu 0.08%
iter 143: loss 2.3950, time 505.91ms, mfu 0.08%
iter 144: loss 2.3843, time 491.42ms, mfu 0.08%
iter 145: loss 2.3850, time 505.00ms, mfu 0.08%
iter 146: loss 2.3848, time 491.18ms, mfu 0.08%
iter 147: loss 2.3808, time 477.99ms, mfu 0.08%
iter 148: loss 2.4064, time 491.02ms, mfu 0.08%
iter 149: loss 2.3347, time 507.16ms, mfu 0.08%
iter 150: loss 2.4138, time 523.46ms, mfu 0.08%
iter 151: loss 2.3781, time 506.72ms, mfu 0.08%
iter 152: loss 2.3747, time 490.03ms, mfu 0.08%
iter 153: loss 2.3584, time 490.97ms, mfu 0.08%
