C:\Users\vinay\Downloads\video_pexels\videos\tensorflow\nanoGPTV3\train.py:209: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
C:\Users\vinay\Downloads\video_pexels\videos\venv\Lib\site-packages\torch\amp\grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 100
Overriding: log_interval = 1
Overriding: block_size = 128
Overriding: batch_size = 24
Overriding: n_layer = 12
Overriding: n_head = 12
Overriding: n_embd = 384
Overriding: max_iters = 8000
Overriding: lr_decay_iters = 8000
Overriding: dropout = 0.0
tokens per iteration will be: 3,072
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 21.27M
num decayed parameter tensors: 50, with 21,307,776 parameters
num non-decayed parameter tensors: 25, with 9,600 parameters
using fused AdamW: False
step 0: train loss 4.2722, val loss 4.2653
iter 0: loss 4.2658, time 132229.23ms, mfu -100.00%
iter 1: loss 3.9538, time 1437.66ms, mfu -100.00%
iter 2: loss 3.6205, time 1407.19ms, mfu -100.00%
iter 3: loss 3.4447, time 1391.27ms, mfu -100.00%
iter 4: loss 3.3115, time 1391.56ms, mfu -100.00%
iter 5: loss 3.2601, time 1378.89ms, mfu 0.10%
iter 6: loss 3.2068, time 1406.43ms, mfu 0.10%
iter 7: loss 3.0541, time 1409.02ms, mfu 0.10%
iter 8: loss 2.9972, time 1390.11ms, mfu 0.10%
iter 9: loss 2.9753, time 1417.79ms, mfu 0.10%
iter 10: loss 2.8830, time 1391.68ms, mfu 0.10%
iter 11: loss 2.8806, time 1406.15ms, mfu 0.10%
iter 12: loss 2.8306, time 1405.56ms, mfu 0.10%
iter 13: loss 2.7799, time 1421.60ms, mfu 0.10%
iter 14: loss 2.7668, time 1408.19ms, mfu 0.09%
iter 15: loss 2.7352, time 1375.34ms, mfu 0.10%
iter 16: loss 2.7241, time 1389.89ms, mfu 0.10%
iter 17: loss 2.7132, time 1376.72ms, mfu 0.10%
iter 18: loss 2.7629, time 1361.13ms, mfu 0.10%
iter 19: loss 2.7239, time 1376.87ms, mfu 0.10%
iter 20: loss 2.6975, time 1374.06ms, mfu 0.10%
iter 21: loss 2.6706, time 1375.31ms, mfu 0.10%
iter 22: loss 2.6900, time 1405.98ms, mfu 0.10%
iter 23: loss 2.6355, time 1376.57ms, mfu 0.10%
iter 24: loss 2.6462, time 1385.42ms, mfu 0.10%
iter 25: loss 2.6686, time 1379.22ms, mfu 0.10%
iter 26: loss 2.6374, time 1438.77ms, mfu 0.10%
iter 27: loss 2.6508, time 1439.10ms, mfu 0.10%
iter 28: loss 2.5650, time 1394.30ms, mfu 0.10%
iter 29: loss 2.5799, time 1406.85ms, mfu 0.09%
iter 30: loss 2.6272, time 1407.91ms, mfu 0.09%
iter 31: loss 2.5681, time 1424.47ms, mfu 0.09%
iter 32: loss 2.5668, time 1422.59ms, mfu 0.09%
iter 33: loss 2.5591, time 1440.60ms, mfu 0.09%
iter 34: loss 2.5687, time 1454.49ms, mfu 0.09%
iter 35: loss 2.5529, time 1438.19ms, mfu 0.09%
iter 36: loss 2.6020, time 1438.54ms, mfu 0.09%
iter 37: loss 2.5683, time 1454.99ms, mfu 0.09%
iter 38: loss 2.5774, time 1452.34ms, mfu 0.09%
iter 39: loss 2.5694, time 1426.60ms, mfu 0.09%
iter 40: loss 2.5172, time 1439.78ms, mfu 0.09%
iter 41: loss 2.5789, time 1421.75ms, mfu 0.09%
iter 42: loss 2.5773, time 1423.51ms, mfu 0.09%
iter 43: loss 2.5439, time 1454.66ms, mfu 0.09%
iter 44: loss 2.5599, time 1420.77ms, mfu 0.09%
iter 45: loss 2.5477, time 1451.62ms, mfu 0.09%
iter 46: loss 2.5434, time 1426.25ms, mfu 0.09%
iter 47: loss 2.5473, time 1374.59ms, mfu 0.09%
iter 48: loss 2.5322, time 1358.13ms, mfu 0.09%
iter 49: loss 2.5718, time 1359.81ms, mfu 0.09%
iter 50: loss 2.5761, time 1376.02ms, mfu 0.09%
iter 51: loss 2.5716, time 1375.72ms, mfu 0.09%
iter 52: loss 2.5685, time 1376.77ms, mfu 0.09%
iter 53: loss 2.5924, time 1390.80ms, mfu 0.09%
iter 54: loss 2.5060, time 1376.11ms, mfu 0.09%
iter 55: loss 2.5137, time 1375.80ms, mfu 0.10%
iter 56: loss 2.5394, time 1375.59ms, mfu 0.10%
iter 57: loss 2.5168, time 1391.48ms, mfu 0.10%
iter 58: loss 2.4905, time 1379.13ms, mfu 0.10%
iter 59: loss 2.5714, time 1391.37ms, mfu 0.10%
iter 60: loss 2.5142, time 1393.91ms, mfu 0.10%
iter 61: loss 2.5220, time 1391.39ms, mfu 0.10%
iter 62: loss 2.5461, time 1405.71ms, mfu 0.10%
iter 63: loss 2.5075, time 1390.45ms, mfu 0.10%
iter 64: loss 2.4986, time 1391.48ms, mfu 0.10%
iter 65: loss 2.4918, time 1394.93ms, mfu 0.10%
iter 66: loss 2.5284, time 1377.97ms, mfu 0.10%
iter 67: loss 2.5550, time 1374.16ms, mfu 0.10%
iter 68: loss 2.5066, time 1402.80ms, mfu 0.10%
iter 69: loss 2.5119, time 1406.69ms, mfu 0.10%
iter 70: loss 2.4823, time 1382.24ms, mfu 0.10%
iter 71: loss 2.4743, time 1394.20ms, mfu 0.10%
iter 72: loss 2.4772, time 1378.89ms, mfu 0.10%
iter 73: loss 2.4921, time 1372.66ms, mfu 0.10%
iter 74: loss 2.5201, time 1410.08ms, mfu 0.10%
iter 75: loss 2.4565, time 1405.90ms, mfu 0.10%
iter 76: loss 2.5136, time 1390.50ms, mfu 0.10%
iter 77: loss 2.5660, time 1373.71ms, mfu 0.10%
iter 78: loss 2.4766, time 1410.18ms, mfu 0.10%
