C:\Users\vinay\Downloads\video_pexels\videos\tensorflow\nanoGPTV2\train.py:209: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
C:\Users\vinay\Downloads\video_pexels\videos\venv\Lib\site-packages\torch\amp\grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 100
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 128
Overriding: max_iters = 2000
Overriding: lr_decay_iters = 2000
Overriding: dropout = 0.0
tokens per iteration will be: 768
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: False
step 0: train loss 4.2192, val loss 4.2151
iter 0: loss 4.2134, time 3985.45ms, mfu -100.00%
iter 1: loss 4.2058, time 73.69ms, mfu -100.00%
iter 2: loss 4.1877, time 254.91ms, mfu -100.00%
iter 3: loss 4.1239, time 255.66ms, mfu -100.00%
iter 4: loss 4.0977, time 270.15ms, mfu -100.00%
iter 5: loss 4.0462, time 255.85ms, mfu 0.00%
iter 6: loss 3.9590, time 271.85ms, mfu 0.00%
iter 7: loss 3.9022, time 206.32ms, mfu 0.01%
iter 8: loss 3.8693, time 249.10ms, mfu 0.01%
iter 9: loss 3.8509, time 253.20ms, mfu 0.01%
iter 10: loss 3.8365, time 261.30ms, mfu 0.01%
iter 11: loss 3.7818, time 252.89ms, mfu 0.01%
iter 12: loss 3.7634, time 287.48ms, mfu 0.00%
iter 13: loss 3.7485, time 254.83ms, mfu 0.00%
iter 14: loss 3.7224, time 255.56ms, mfu 0.00%
iter 15: loss 3.6655, time 253.24ms, mfu 0.00%
iter 16: loss 3.6556, time 268.23ms, mfu 0.00%
iter 17: loss 3.6221, time 203.35ms, mfu 0.01%
iter 18: loss 3.6823, time 144.59ms, mfu 0.01%
iter 19: loss 3.6173, time 157.74ms, mfu 0.01%
iter 20: loss 3.5889, time 141.73ms, mfu 0.01%
iter 21: loss 3.6202, time 155.64ms, mfu 0.01%
iter 22: loss 3.5773, time 113.28ms, mfu 0.01%
iter 23: loss 3.5766, time 157.96ms, mfu 0.01%
iter 24: loss 3.6438, time 158.75ms, mfu 0.01%
iter 25: loss 3.5502, time 189.81ms, mfu 0.01%
iter 26: loss 3.4811, time 158.68ms, mfu 0.01%
iter 27: loss 3.5232, time 158.84ms, mfu 0.01%
iter 28: loss 3.4965, time 174.75ms, mfu 0.01%
iter 29: loss 3.4337, time 142.56ms, mfu 0.01%
iter 30: loss 3.4263, time 174.11ms, mfu 0.01%
iter 31: loss 3.3872, time 200.93ms, mfu 0.01%
iter 32: loss 3.3243, time 162.89ms, mfu 0.01%
iter 33: loss 3.3438, time 174.23ms, mfu 0.01%
iter 34: loss 3.2529, time 174.17ms, mfu 0.01%
iter 35: loss 3.1987, time 190.34ms, mfu 0.01%
iter 36: loss 3.1949, time 269.41ms, mfu 0.01%
iter 37: loss 3.2504, time 253.50ms, mfu 0.01%
iter 38: loss 3.1542, time 252.75ms, mfu 0.01%
iter 39: loss 3.1421, time 268.45ms, mfu 0.01%
iter 40: loss 3.1123, time 253.62ms, mfu 0.01%
iter 41: loss 3.0193, time 268.36ms, mfu 0.01%
iter 42: loss 3.0421, time 315.80ms, mfu 0.01%
iter 43: loss 3.0741, time 142.10ms, mfu 0.01%
iter 44: loss 3.0285, time 110.16ms, mfu 0.01%
iter 45: loss 3.0588, time 173.89ms, mfu 0.01%
iter 46: loss 2.9313, time 95.81ms, mfu 0.01%
iter 47: loss 3.0585, time 128.11ms, mfu 0.01%
iter 48: loss 2.9525, time 252.33ms, mfu 0.01%
iter 49: loss 2.9159, time 270.94ms, mfu 0.01%
iter 50: loss 2.9242, time 252.71ms, mfu 0.01%
iter 51: loss 2.8484, time 271.18ms, mfu 0.01%
iter 52: loss 2.8225, time 254.91ms, mfu 0.01%
iter 53: loss 2.8690, time 254.67ms, mfu 0.01%
iter 54: loss 2.8815, time 255.59ms, mfu 0.01%
iter 55: loss 2.8349, time 255.74ms, mfu 0.01%
iter 56: loss 2.8241, time 238.66ms, mfu 0.01%
iter 57: loss 2.8720, time 271.03ms, mfu 0.01%
iter 58: loss 2.8145, time 238.77ms, mfu 0.01%
iter 59: loss 2.7733, time 255.01ms, mfu 0.01%
iter 60: loss 2.8992, time 270.15ms, mfu 0.01%
iter 61: loss 2.8202, time 271.80ms, mfu 0.01%
iter 62: loss 2.7183, time 222.36ms, mfu 0.01%
iter 63: loss 2.7528, time 254.99ms, mfu 0.01%
iter 64: loss 2.7784, time 254.34ms, mfu 0.01%
iter 65: loss 2.7283, time 255.75ms, mfu 0.01%
iter 66: loss 2.7006, time 239.16ms, mfu 0.01%
iter 67: loss 2.7344, time 239.64ms, mfu 0.01%
iter 68: loss 2.7178, time 238.55ms, mfu 0.01%
iter 69: loss 2.7196, time 255.01ms, mfu 0.01%
iter 70: loss 2.6570, time 240.00ms, mfu 0.01%
iter 71: loss 2.6822, time 318.37ms, mfu 0.01%
iter 72: loss 2.6630, time 255.45ms, mfu 0.01%
