iter 71: loss 2.7436, time 254.73ms, mfu 0.01%
iter 72: loss 2.7178, time 237.16ms, mfu 0.01%
iter 73: loss 2.6839, time 221.75ms, mfu 0.01%
iter 74: loss 2.7421, time 254.05ms, mfu 0.01%
iter 75: loss 2.7369, time 221.97ms, mfu 0.01%
iter 76: loss 2.7392, time 238.36ms, mfu 0.01%
iter 77: loss 2.6722, time 221.23ms, mfu 0.01%
iter 78: loss 2.6691, time 190.76ms, mfu 0.01%
iter 79: loss 2.7180, time 253.77ms, mfu 0.01%
iter 80: loss 2.6570, time 237.83ms, mfu 0.01%
iter 81: loss 2.6744, time 238.06ms, mfu 0.01%
iter 82: loss 2.6018, time 191.95ms, mfu 0.01%
iter 83: loss 2.6485, time 156.91ms, mfu 0.01%
iter 84: loss 2.7817, time 239.51ms, mfu 0.01%
iter 85: loss 2.7168, time 252.09ms, mfu 0.01%
iter 86: loss 2.7411, time 239.59ms, mfu 0.01%
iter 87: loss 2.6285, time 235.90ms, mfu 0.01%
iter 88: loss 2.6406, time 236.97ms, mfu 0.01%
iter 89: loss 2.6392, time 236.92ms, mfu 0.01%
iter 90: loss 2.5777, time 252.71ms, mfu 0.01%
iter 91: loss 2.6380, time 236.79ms, mfu 0.01%
iter 92: loss 2.6462, time 252.87ms, mfu 0.01%
iter 93: loss 2.6623, time 237.15ms, mfu 0.01%
iter 94: loss 2.6287, time 236.82ms, mfu 0.01%
iter 95: loss 2.5929, time 236.25ms, mfu 0.01%
iter 96: loss 2.5315, time 236.94ms, mfu 0.01%
iter 97: loss 2.6864, time 252.63ms, mfu 0.01%
iter 98: loss 2.7277, time 252.80ms, mfu 0.01%
iter 99: loss 2.5678, time 221.12ms, mfu 0.01%
iter 100: loss 2.5628, time 253.05ms, mfu 0.01%
iter 101: loss 2.6642, time 236.84ms, mfu 0.01%
iter 102: loss 2.5180, time 237.16ms, mfu 0.01%
iter 103: loss 2.7212, time 236.88ms, mfu 0.01%
iter 104: loss 2.5379, time 221.40ms, mfu 0.01%
iter 105: loss 2.4833, time 252.68ms, mfu 0.01%
iter 106: loss 2.5784, time 221.21ms, mfu 0.01%
iter 107: loss 2.6094, time 253.10ms, mfu 0.01%
iter 108: loss 2.5531, time 205.27ms, mfu 0.01%
iter 109: loss 2.6074, time 236.88ms, mfu 0.01%
iter 110: loss 2.5074, time 236.85ms, mfu 0.01%
iter 111: loss 2.5115, time 252.67ms, mfu 0.01%
iter 112: loss 2.6004, time 236.85ms, mfu 0.01%
iter 113: loss 2.5999, time 237.01ms, mfu 0.01%
iter 114: loss 2.6278, time 236.79ms, mfu 0.01%
iter 115: loss 2.5906, time 253.08ms, mfu 0.01%
iter 116: loss 2.5430, time 236.98ms, mfu 0.01%
iter 117: loss 2.6825, time 221.07ms, mfu 0.01%
iter 118: loss 2.5533, time 237.98ms, mfu 0.01%
iter 119: loss 2.5654, time 252.55ms, mfu 0.01%
iter 120: loss 2.5417, time 236.83ms, mfu 0.01%
iter 121: loss 2.5997, time 236.87ms, mfu 0.01%
iter 122: loss 2.5580, time 236.91ms, mfu 0.01%
iter 123: loss 2.4895, time 252.66ms, mfu 0.01%
iter 124: loss 2.5625, time 236.84ms, mfu 0.01%
iter 125: loss 2.5908, time 252.60ms, mfu 0.01%
iter 126: loss 2.6253, time 221.21ms, mfu 0.01%
iter 127: loss 2.6102, time 252.84ms, mfu 0.01%
iter 128: loss 2.4901, time 236.86ms, mfu 0.01%
iter 129: loss 2.4868, time 236.80ms, mfu 0.01%
iter 130: loss 2.5499, time 237.05ms, mfu 0.01%
iter 131: loss 2.5689, time 236.84ms, mfu 0.01%
iter 132: loss 2.4922, time 236.82ms, mfu 0.01%
iter 133: loss 2.5150, time 236.99ms, mfu 0.01%
iter 134: loss 2.4834, time 236.84ms, mfu 0.01%
iter 135: loss 2.4874, time 236.81ms, mfu 0.01%
iter 136: loss 2.5681, time 252.96ms, mfu 0.01%
iter 137: loss 2.5288, time 236.77ms, mfu 0.01%
iter 138: loss 2.5540, time 237.16ms, mfu 0.01%
iter 139: loss 2.5444, time 252.67ms, mfu 0.01%
iter 140: loss 2.5668, time 236.93ms, mfu 0.01%
iter 141: loss 2.5790, time 236.83ms, mfu 0.01%
iter 142: loss 2.4999, time 236.97ms, mfu 0.01%
iter 143: loss 2.5494, time 237.25ms, mfu 0.01%
iter 144: loss 2.5715, time 252.64ms, mfu 0.01%
iter 145: loss 2.4880, time 236.85ms, mfu 0.01%
iter 146: loss 2.4440, time 236.82ms, mfu 0.01%
iter 147: loss 2.4236, time 221.12ms, mfu 0.01%
iter 148: loss 2.6025, time 252.65ms, mfu 0.01%
iter 149: loss 2.5302, time 252.64ms, mfu 0.01%
iter 150: loss 2.4528, time 236.94ms, mfu 0.01%
iter 151: loss 2.5295, time 237.24ms, mfu 0.01%
iter 152: loss 2.4802, time 236.91ms, mfu 0.01%
iter 153: loss 2.4640, time 252.91ms, mfu 0.01%
iter 154: loss 2.5008, time 250.04ms, mfu 0.01%
iter 155: loss 2.5651, time 239.46ms, mfu 0.01%
iter 156: loss 2.4524, time 205.35ms, mfu 0.01%
iter 157: loss 2.5550, time 253.22ms, mfu 0.01%
iter 158: loss 2.4520, time 237.43ms, mfu 0.01%
iter 159: loss 2.5259, time 255.42ms, mfu 0.01%
iter 160: loss 2.4311, time 221.73ms, mfu 0.01%
iter 161: loss 2.5093, time 240.29ms, mfu 0.01%
iter 162: loss 2.5670, time 254.37ms, mfu 0.01%
iter 163: loss 2.5163, time 252.66ms, mfu 0.01%
iter 164: loss 2.5760, time 221.35ms, mfu 0.01%
iter 165: loss 2.4055, time 253.89ms, mfu 0.01%
iter 166: loss 2.6222, time 253.51ms, mfu 0.01%
iter 167: loss 2.5161, time 236.98ms, mfu 0.01%
iter 168: loss 2.5123, time 236.83ms, mfu 0.01%
iter 169: loss 2.4953, time 221.97ms, mfu 0.01%
iter 170: loss 2.4920, time 252.62ms, mfu 0.01%
iter 171: loss 2.4955, time 237.94ms, mfu 0.01%
iter 172: loss 2.4310, time 255.17ms, mfu 0.01%
iter 173: loss 2.4814, time 206.25ms, mfu 0.01%
iter 174: loss 2.4015, time 239.15ms, mfu 0.01%
iter 175: loss 2.4056, time 273.59ms, mfu 0.01%
iter 176: loss 2.5238, time 252.24ms, mfu 0.01%
iter 177: loss 2.4950, time 205.55ms, mfu 0.01%
iter 178: loss 2.4406, time 252.62ms, mfu 0.01%
iter 179: loss 2.4559, time 270.25ms, mfu 0.01%
iter 180: loss 2.4706, time 253.03ms, mfu 0.01%
iter 181: loss 2.4894, time 253.01ms, mfu 0.01%
iter 182: loss 2.4735, time 206.82ms, mfu 0.01%
iter 183: loss 2.5203, time 252.73ms, mfu 0.01%
iter 184: loss 2.4860, time 252.69ms, mfu 0.01%
iter 185: loss 2.4589, time 237.10ms, mfu 0.01%
iter 186: loss 2.4705, time 207.03ms, mfu 0.01%
iter 187: loss 2.4564, time 252.78ms, mfu 0.01%
iter 188: loss 2.4795, time 252.69ms, mfu 0.01%
iter 189: loss 2.4733, time 252.69ms, mfu 0.01%
iter 190: loss 2.4869, time 237.28ms, mfu 0.01%
iter 191: loss 2.4332, time 253.32ms, mfu 0.01%
iter 192: loss 2.5069, time 237.06ms, mfu 0.01%
iter 193: loss 2.4641, time 252.78ms, mfu 0.01%
iter 194: loss 2.4185, time 252.70ms, mfu 0.01%
iter 195: loss 2.5212, time 221.50ms, mfu 0.01%
iter 196: loss 2.4325, time 252.61ms, mfu 0.01%
iter 197: loss 2.5027, time 237.36ms, mfu 0.01%
iter 198: loss 2.4965, time 253.69ms, mfu 0.01%
iter 199: loss 2.5388, time 222.60ms, mfu 0.01%
iter 200: loss 2.4972, time 221.42ms, mfu 0.01%
iter 201: loss 2.4463, time 254.01ms, mfu 0.01%
iter 202: loss 2.4029, time 237.17ms, mfu 0.01%
iter 203: loss 2.4309, time 272.97ms, mfu 0.01%
iter 204: loss 2.4708, time 239.33ms, mfu 0.01%
iter 205: loss 2.4513, time 253.71ms, mfu 0.01%
iter 206: loss 2.5559, time 239.05ms, mfu 0.01%
iter 207: loss 2.4042, time 223.10ms, mfu 0.01%
iter 208: loss 2.4780, time 205.84ms, mfu 0.01%
iter 209: loss 2.4772, time 158.63ms, mfu 0.01%
iter 210: loss 2.4768, time 159.21ms, mfu 0.01%
iter 211: loss 2.4911, time 239.15ms, mfu 0.01%
iter 212: loss 2.4572, time 251.99ms, mfu 0.01%
iter 213: loss 2.4954, time 268.72ms, mfu 0.01%
iter 214: loss 2.5093, time 221.16ms, mfu 0.01%
iter 215: loss 2.4630, time 237.16ms, mfu 0.01%
iter 216: loss 2.3532, time 252.64ms, mfu 0.01%
iter 217: loss 2.3820, time 220.95ms, mfu 0.01%
iter 218: loss 2.3983, time 252.88ms, mfu 0.01%
iter 219: loss 2.3936, time 253.12ms, mfu 0.01%
iter 220: loss 2.4520, time 252.71ms, mfu 0.01%
iter 221: loss 2.4156, time 236.84ms, mfu 0.01%
iter 222: loss 2.4570, time 236.87ms, mfu 0.01%
iter 223: loss 2.4158, time 253.18ms, mfu 0.01%
iter 224: loss 2.3362, time 236.95ms, mfu 0.01%
iter 225: loss 2.4517, time 221.12ms, mfu 0.01%
iter 226: loss 2.4837, time 237.14ms, mfu 0.01%
iter 227: loss 2.4197, time 252.77ms, mfu 0.01%
iter 228: loss 2.3896, time 252.47ms, mfu 0.01%
iter 229: loss 2.4664, time 253.96ms, mfu 0.01%
iter 230: loss 2.3778, time 126.70ms, mfu 0.01%
iter 231: loss 2.4337, time 110.52ms, mfu 0.01%
iter 232: loss 2.4368, time 94.63ms, mfu 0.01%
iter 233: loss 2.3816, time 111.90ms, mfu 0.01%
iter 234: loss 2.3824, time 126.13ms, mfu 0.01%
iter 235: loss 2.4709, time 239.06ms, mfu 0.01%
iter 236: loss 2.4091, time 239.14ms, mfu 0.01%
iter 237: loss 2.4809, time 254.25ms, mfu 0.01%
iter 238: loss 2.5173, time 256.14ms, mfu 0.01%
iter 239: loss 2.4060, time 254.03ms, mfu 0.01%
iter 240: loss 2.3785, time 238.55ms, mfu 0.01%
iter 241: loss 2.3941, time 239.23ms, mfu 0.01%
iter 242: loss 2.5106, time 239.25ms, mfu 0.01%
iter 243: loss 2.5028, time 255.40ms, mfu 0.01%
iter 244: loss 2.4096, time 238.67ms, mfu 0.01%
iter 245: loss 2.3940, time 222.99ms, mfu 0.01%
iter 246: loss 2.3713, time 254.56ms, mfu 0.01%
iter 247: loss 2.4171, time 254.36ms, mfu 0.01%
iter 248: loss 2.3768, time 256.02ms, mfu 0.01%
iter 249: loss 2.5029, time 191.11ms, mfu 0.01%
step 250: train loss 2.4070, val loss 2.4211
saving checkpoint to out-shakespeare-char
iter 250: loss 2.4222, time 14963.70ms, mfu 0.01%
iter 251: loss 2.3863, time 254.80ms, mfu 0.01%
iter 252: loss 2.3187, time 237.52ms, mfu 0.01%
iter 253: loss 2.4317, time 224.48ms, mfu 0.01%
iter 254: loss 2.3967, time 239.08ms, mfu 0.01%
iter 255: loss 2.4432, time 255.96ms, mfu 0.01%
iter 256: loss 2.3615, time 238.58ms, mfu 0.01%
iter 257: loss 2.4518, time 253.59ms, mfu 0.01%
iter 258: loss 2.3953, time 238.77ms, mfu 0.01%
iter 259: loss 2.4449, time 253.28ms, mfu 0.01%
iter 260: loss 2.4057, time 237.94ms, mfu 0.01%
iter 261: loss 2.4639, time 237.84ms, mfu 0.01%
iter 262: loss 2.3312, time 238.52ms, mfu 0.01%
iter 263: loss 2.4323, time 253.09ms, mfu 0.01%
