C:\Users\vinay\Downloads\video_pexels\videos\tensorflow\nanoGPTV3\train.py:209: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
C:\Users\vinay\Downloads\video_pexels\videos\venv\Lib\site-packages\torch\amp\grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 100
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 128
Overriding: max_iters = 2000
Overriding: lr_decay_iters = 2000
Overriding: dropout = 0.0
tokens per iteration will be: 768
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: False
step 0: train loss 4.1898, val loss 4.1854
iter 0: loss 4.1964, time 10772.37ms, mfu -100.00%
iter 1: loss 4.1704, time 220.51ms, mfu -100.00%
iter 2: loss 4.1435, time 238.77ms, mfu -100.00%
iter 3: loss 4.0757, time 239.34ms, mfu -100.00%
iter 4: loss 4.0363, time 237.53ms, mfu -100.00%
iter 5: loss 3.9732, time 206.64ms, mfu 0.01%
iter 6: loss 3.8654, time 207.29ms, mfu 0.01%
iter 7: loss 3.8150, time 239.42ms, mfu 0.01%
iter 8: loss 3.7868, time 237.80ms, mfu 0.01%
iter 9: loss 3.7831, time 238.00ms, mfu 0.01%
iter 10: loss 3.7815, time 223.62ms, mfu 0.01%
iter 11: loss 3.7257, time 239.80ms, mfu 0.01%
iter 12: loss 3.7108, time 239.67ms, mfu 0.01%
iter 13: loss 3.7027, time 206.19ms, mfu 0.01%
iter 14: loss 3.6760, time 222.98ms, mfu 0.01%
iter 15: loss 3.6232, time 239.34ms, mfu 0.01%
iter 16: loss 3.6072, time 239.68ms, mfu 0.01%
iter 17: loss 3.5757, time 221.72ms, mfu 0.01%
iter 18: loss 3.6269, time 240.14ms, mfu 0.01%
iter 19: loss 3.5625, time 191.63ms, mfu 0.01%
iter 20: loss 3.5095, time 238.52ms, mfu 0.01%
iter 21: loss 3.5230, time 221.95ms, mfu 0.01%
iter 22: loss 3.4632, time 206.26ms, mfu 0.01%
iter 23: loss 3.4653, time 191.17ms, mfu 0.01%
iter 24: loss 3.4895, time 222.53ms, mfu 0.01%
iter 25: loss 3.4004, time 302.84ms, mfu 0.01%
iter 26: loss 3.3192, time 238.56ms, mfu 0.01%
iter 27: loss 3.3673, time 207.50ms, mfu 0.01%
iter 28: loss 3.3557, time 206.53ms, mfu 0.01%
iter 29: loss 3.2736, time 238.92ms, mfu 0.01%
iter 30: loss 3.2855, time 237.11ms, mfu 0.01%
iter 31: loss 3.2543, time 254.17ms, mfu 0.01%
iter 32: loss 3.2018, time 189.32ms, mfu 0.01%
iter 33: loss 3.2416, time 191.03ms, mfu 0.01%
iter 34: loss 3.1751, time 237.87ms, mfu 0.01%
iter 35: loss 3.0923, time 239.46ms, mfu 0.01%
iter 36: loss 3.1241, time 238.01ms, mfu 0.01%
iter 37: loss 3.1579, time 222.79ms, mfu 0.01%
iter 38: loss 3.0656, time 205.55ms, mfu 0.01%
iter 39: loss 3.0616, time 112.13ms, mfu 0.01%
iter 40: loss 3.0450, time 191.71ms, mfu 0.01%
iter 41: loss 2.9564, time 223.95ms, mfu 0.01%
iter 42: loss 2.9800, time 224.25ms, mfu 0.01%
iter 43: loss 3.0083, time 239.56ms, mfu 0.01%
iter 44: loss 2.9706, time 238.82ms, mfu 0.01%
iter 45: loss 3.0086, time 126.97ms, mfu 0.01%
iter 46: loss 2.8894, time 47.18ms, mfu 0.01%
iter 47: loss 3.0137, time 47.06ms, mfu 0.01%
iter 48: loss 2.9077, time 31.68ms, mfu 0.01%
iter 49: loss 2.8896, time 47.69ms, mfu 0.01%
iter 50: loss 2.8864, time 47.20ms, mfu 0.02%
iter 51: loss 2.8155, time 46.97ms, mfu 0.02%
iter 52: loss 2.7982, time 62.87ms, mfu 0.02%
iter 53: loss 2.8418, time 31.36ms, mfu 0.02%
iter 54: loss 2.8476, time 47.66ms, mfu 0.02%
iter 55: loss 2.8123, time 46.59ms, mfu 0.02%
iter 56: loss 2.8075, time 47.10ms, mfu 0.02%
iter 57: loss 2.8510, time 46.99ms, mfu 0.02%
iter 58: loss 2.7959, time 32.25ms, mfu 0.02%
iter 59: loss 2.7687, time 46.23ms, mfu 0.02%
iter 60: loss 2.8943, time 47.54ms, mfu 0.02%
iter 61: loss 2.7988, time 31.36ms, mfu 0.03%
iter 62: loss 2.7042, time 47.03ms, mfu 0.03%
iter 63: loss 2.7600, time 31.43ms, mfu 0.03%
iter 64: loss 2.7726, time 47.02ms, mfu 0.03%
iter 65: loss 2.7386, time 47.27ms, mfu 0.03%
iter 66: loss 2.6935, time 47.58ms, mfu 0.03%
iter 67: loss 2.7263, time 31.64ms, mfu 0.03%
iter 68: loss 2.7253, time 47.13ms, mfu 0.03%
iter 69: loss 2.7167, time 46.97ms, mfu 0.03%
iter 70: loss 2.6612, time 49.03ms, mfu 0.03%
iter 71: loss 2.6800, time 45.74ms, mfu 0.03%
iter 72: loss 2.6705, time 47.23ms, mfu 0.03%
