C:\Users\vinay\Downloads\video_pexels\videos\tensorflow\nanoGPTV10\train.py:209: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
C:\Users\vinay\Downloads\video_pexels\videos\venv\Lib\site-packages\torch\amp\grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 100
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 128
Overriding: max_iters = 2000
Overriding: lr_decay_iters = 2000
Overriding: dropout = 0.0
tokens per iteration will be: 768
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: False
step 0: train loss 4.1875, val loss 4.1836
iter 0: loss 4.1917, time 7336.27ms, mfu -100.00%
iter 1: loss 4.1607, time 317.26ms, mfu -100.00%
iter 2: loss 4.1158, time 238.19ms, mfu -100.00%
iter 3: loss 4.0337, time 238.49ms, mfu -100.00%
iter 4: loss 3.9930, time 222.20ms, mfu -100.00%
iter 5: loss 3.9356, time 317.49ms, mfu 0.00%
iter 6: loss 3.8456, time 270.31ms, mfu 0.00%
iter 7: loss 3.8117, time 238.32ms, mfu 0.00%
iter 8: loss 3.7960, time 333.65ms, mfu 0.00%
iter 9: loss 3.7983, time 158.91ms, mfu 0.00%
iter 10: loss 3.8001, time 380.23ms, mfu 0.00%
iter 11: loss 3.7516, time 412.05ms, mfu 0.00%
iter 12: loss 3.7429, time 333.57ms, mfu 0.00%
iter 13: loss 3.7336, time 238.24ms, mfu 0.00%
iter 14: loss 3.7169, time 317.16ms, mfu 0.00%
iter 15: loss 3.6606, time 254.27ms, mfu 0.00%
iter 16: loss 3.6550, time 254.60ms, mfu 0.00%
iter 17: loss 3.6198, time 222.10ms, mfu 0.00%
iter 18: loss 3.6850, time 332.67ms, mfu 0.00%
iter 19: loss 3.6171, time 254.77ms, mfu 0.00%
iter 20: loss 3.5914, time 238.39ms, mfu 0.00%
iter 21: loss 3.6224, time 301.61ms, mfu 0.00%
iter 22: loss 3.5813, time 332.62ms, mfu 0.00%
iter 23: loss 3.5802, time 254.31ms, mfu 0.00%
iter 24: loss 3.6538, time 222.29ms, mfu 0.00%
iter 25: loss 3.5613, time 349.61ms, mfu 0.00%
iter 26: loss 3.4924, time 238.50ms, mfu 0.00%
iter 27: loss 3.5408, time 254.18ms, mfu 0.00%
iter 28: loss 3.5194, time 253.93ms, mfu 0.00%
iter 29: loss 3.4680, time 244.08ms, mfu 0.00%
iter 30: loss 3.4758, time 326.37ms, mfu 0.00%
iter 31: loss 3.4551, time 333.85ms, mfu 0.00%
iter 32: loss 3.4068, time 350.41ms, mfu 0.00%
iter 33: loss 3.4451, time 364.71ms, mfu 0.00%
iter 34: loss 3.3289, time 349.41ms, mfu 0.00%
iter 35: loss 3.3132, time 301.49ms, mfu 0.00%
iter 36: loss 3.3131, time 253.99ms, mfu 0.00%
iter 37: loss 3.3684, time 221.92ms, mfu 0.00%
iter 38: loss 3.2388, time 237.10ms, mfu 0.00%
iter 39: loss 3.2271, time 207.68ms, mfu 0.00%
iter 40: loss 3.2020, time 238.06ms, mfu 0.00%
iter 41: loss 3.1156, time 238.20ms, mfu 0.00%
iter 42: loss 3.1364, time 316.84ms, mfu 0.00%
iter 43: loss 3.1731, time 222.75ms, mfu 0.00%
iter 44: loss 3.1024, time 318.16ms, mfu 0.00%
iter 45: loss 3.0892, time 238.40ms, mfu 0.00%
iter 46: loss 2.9747, time 222.07ms, mfu 0.00%
iter 47: loss 3.1242, time 238.37ms, mfu 0.00%
iter 48: loss 3.0058, time 222.51ms, mfu 0.01%
iter 49: loss 2.9410, time 258.90ms, mfu 0.01%
iter 50: loss 3.0049, time 234.76ms, mfu 0.01%
iter 51: loss 2.8970, time 285.46ms, mfu 0.01%
iter 52: loss 2.8679, time 237.70ms, mfu 0.01%
iter 53: loss 2.9035, time 222.38ms, mfu 0.01%
iter 54: loss 2.9326, time 238.27ms, mfu 0.01%
iter 55: loss 2.8703, time 286.42ms, mfu 0.01%
iter 56: loss 2.8654, time 254.05ms, mfu 0.01%
iter 57: loss 2.9122, time 238.37ms, mfu 0.01%
iter 58: loss 2.8401, time 318.94ms, mfu 0.00%
iter 59: loss 2.7964, time 222.85ms, mfu 0.01%
iter 60: loss 2.9358, time 302.99ms, mfu 0.00%
iter 61: loss 2.8538, time 238.05ms, mfu 0.01%
iter 62: loss 2.7535, time 238.77ms, mfu 0.01%
iter 63: loss 2.7844, time 317.08ms, mfu 0.00%
iter 64: loss 2.7986, time 254.22ms, mfu 0.00%
iter 65: loss 2.7508, time 222.57ms, mfu 0.01%
iter 66: loss 2.7309, time 332.96ms, mfu 0.00%
iter 67: loss 2.7713, time 238.76ms, mfu 0.00%
iter 68: loss 2.7381, time 239.20ms, mfu 0.00%
iter 69: loss 2.7285, time 317.82ms, mfu 0.00%
iter 70: loss 2.6779, time 222.92ms, mfu 0.00%
iter 71: loss 2.6936, time 317.47ms, mfu 0.00%
iter 72: loss 2.6888, time 222.06ms, mfu 0.00%
