C:\Users\vinay\Downloads\video_pexels\videos\tensorflow\nanoGPTV10\train.py:209: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
C:\Users\vinay\Downloads\video_pexels\videos\venv\Lib\site-packages\torch\amp\grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 100
Overriding: log_interval = 1
Overriding: block_size = 128
Overriding: batch_size = 24
Overriding: n_layer = 6
Overriding: n_head = 6
Overriding: n_embd = 192
Overriding: max_iters = 4000
Overriding: lr_decay_iters = 4000
Overriding: dropout = 0.0
tokens per iteration will be: 3,072
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 2.67M
num decayed parameter tensors: 26, with 2,691,264 parameters
num non-decayed parameter tensors: 13, with 2,496 parameters
using fused AdamW: False
step 0: train loss 4.1976, val loss 4.1948
iter 0: loss 4.2009, time 18647.44ms, mfu -100.00%
iter 1: loss 4.1207, time 317.08ms, mfu -100.00%
iter 2: loss 3.9736, time 285.96ms, mfu -100.00%
iter 3: loss 3.8567, time 301.62ms, mfu -100.00%
iter 4: loss 3.7632, time 301.41ms, mfu -100.00%
iter 5: loss 3.6775, time 300.64ms, mfu 0.06%
iter 6: loss 3.6394, time 285.02ms, mfu 0.06%
iter 7: loss 3.5889, time 301.00ms, mfu 0.06%
iter 8: loss 3.5683, time 300.46ms, mfu 0.06%
iter 9: loss 3.5610, time 283.53ms, mfu 0.06%
iter 10: loss 3.5850, time 301.81ms, mfu 0.06%
iter 11: loss 3.5739, time 302.24ms, mfu 0.06%
iter 12: loss 3.5261, time 284.32ms, mfu 0.06%
iter 13: loss 3.5070, time 285.71ms, mfu 0.06%
iter 14: loss 3.5139, time 301.59ms, mfu 0.06%
iter 15: loss 3.4875, time 302.05ms, mfu 0.06%
iter 16: loss 3.4453, time 284.13ms, mfu 0.06%
iter 17: loss 3.4108, time 300.86ms, mfu 0.06%
iter 18: loss 3.4011, time 285.93ms, mfu 0.06%
iter 19: loss 3.3761, time 316.04ms, mfu 0.06%
iter 20: loss 3.2918, time 285.60ms, mfu 0.06%
iter 21: loss 3.2005, time 300.47ms, mfu 0.06%
iter 22: loss 3.2107, time 302.80ms, mfu 0.06%
iter 23: loss 3.1805, time 283.92ms, mfu 0.06%
iter 24: loss 3.1449, time 300.11ms, mfu 0.06%
iter 25: loss 3.1214, time 300.59ms, mfu 0.06%
iter 26: loss 3.0851, time 285.60ms, mfu 0.06%
iter 27: loss 3.0035, time 284.91ms, mfu 0.06%
iter 28: loss 2.9890, time 285.82ms, mfu 0.06%
iter 29: loss 2.9869, time 302.27ms, mfu 0.06%
iter 30: loss 2.9445, time 300.53ms, mfu 0.06%
iter 31: loss 2.9532, time 299.82ms, mfu 0.06%
iter 32: loss 2.9318, time 303.64ms, mfu 0.06%
iter 33: loss 2.9566, time 299.53ms, mfu 0.06%
iter 34: loss 2.8898, time 285.54ms, mfu 0.06%
iter 35: loss 2.8785, time 301.56ms, mfu 0.06%
iter 36: loss 2.8328, time 300.49ms, mfu 0.06%
iter 37: loss 2.8351, time 285.22ms, mfu 0.06%
iter 38: loss 2.7790, time 300.37ms, mfu 0.06%
iter 39: loss 2.7738, time 302.04ms, mfu 0.06%
iter 40: loss 2.7728, time 285.25ms, mfu 0.06%
iter 41: loss 2.7252, time 301.02ms, mfu 0.06%
iter 42: loss 2.7597, time 301.83ms, mfu 0.06%
iter 43: loss 2.7508, time 285.23ms, mfu 0.06%
