iter 72: loss 2.6649, time 73.08ms, mfu 0.02%
iter 73: loss 2.7587, time 63.02ms, mfu 0.02%
iter 74: loss 2.6424, time 47.03ms, mfu 0.02%
iter 75: loss 2.7949, time 62.85ms, mfu 0.02%
iter 76: loss 2.6656, time 63.11ms, mfu 0.02%
iter 77: loss 2.6408, time 47.32ms, mfu 0.02%
iter 78: loss 2.6817, time 47.64ms, mfu 0.02%
iter 79: loss 2.6575, time 47.05ms, mfu 0.02%
iter 80: loss 2.6613, time 47.25ms, mfu 0.02%
iter 81: loss 2.6725, time 47.20ms, mfu 0.02%
iter 82: loss 2.6604, time 47.42ms, mfu 0.02%
iter 83: loss 2.6220, time 63.57ms, mfu 0.02%
iter 84: loss 2.6036, time 62.83ms, mfu 0.02%
iter 85: loss 2.6569, time 47.61ms, mfu 0.02%
iter 86: loss 2.6043, time 62.88ms, mfu 0.02%
iter 87: loss 2.6553, time 47.04ms, mfu 0.02%
iter 88: loss 2.5572, time 63.26ms, mfu 0.02%
iter 89: loss 2.6140, time 47.21ms, mfu 0.02%
iter 90: loss 2.6369, time 63.07ms, mfu 0.02%
iter 91: loss 2.6028, time 47.25ms, mfu 0.02%
iter 92: loss 2.6859, time 62.83ms, mfu 0.02%
iter 93: loss 2.5844, time 47.06ms, mfu 0.02%
iter 94: loss 2.5940, time 47.34ms, mfu 0.02%
iter 95: loss 2.6173, time 46.97ms, mfu 0.02%
iter 96: loss 2.5532, time 47.22ms, mfu 0.02%
iter 97: loss 2.5541, time 47.02ms, mfu 0.02%
iter 98: loss 2.5299, time 47.29ms, mfu 0.03%
iter 99: loss 2.4865, time 47.27ms, mfu 0.03%
iter 100: loss 2.7091, time 66.83ms, mfu 0.02%
iter 101: loss 2.6133, time 43.55ms, mfu 0.03%
iter 102: loss 2.6241, time 47.22ms, mfu 0.03%
iter 103: loss 2.7098, time 62.87ms, mfu 0.02%
iter 104: loss 2.5816, time 47.16ms, mfu 0.03%
iter 105: loss 2.4764, time 63.12ms, mfu 0.02%
iter 106: loss 2.5629, time 63.39ms, mfu 0.02%
iter 107: loss 2.5711, time 63.36ms, mfu 0.02%
iter 108: loss 2.5934, time 79.16ms, mfu 0.02%
iter 109: loss 2.5551, time 47.01ms, mfu 0.02%
iter 110: loss 2.6113, time 63.00ms, mfu 0.02%
iter 111: loss 2.5640, time 63.38ms, mfu 0.02%
iter 112: loss 2.5780, time 47.15ms, mfu 0.02%
iter 113: loss 2.5408, time 47.10ms, mfu 0.02%
iter 114: loss 2.6520, time 47.43ms, mfu 0.02%
iter 115: loss 2.6153, time 47.53ms, mfu 0.02%
