C:\Users\vinay\Downloads\video_pexels\videos\tensorflow\nanoGPTV2\train.py:209: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
C:\Users\vinay\Downloads\video_pexels\videos\venv\Lib\site-packages\torch\amp\grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 100
Overriding: log_interval = 1
Overriding: block_size = 128
Overriding: batch_size = 24
Overriding: n_layer = 8
Overriding: n_head = 8
Overriding: n_embd = 256
Overriding: max_iters = 2000
Overriding: lr_decay_iters = 2000
Overriding: dropout = 0.0
tokens per iteration will be: 3,072
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 6.31M
num decayed parameter tensors: 34, with 6,340,864 parameters
num non-decayed parameter tensors: 17, with 4,352 parameters
using fused AdamW: False
step 0: train loss 4.2530, val loss 4.2497
iter 0: loss 4.2454, time 49613.53ms, mfu -100.00%
iter 1: loss 4.1180, time 587.51ms, mfu -100.00%
iter 2: loss 3.9121, time 569.30ms, mfu -100.00%
iter 3: loss 3.7531, time 571.14ms, mfu -100.00%
iter 4: loss 3.6216, time 582.90ms, mfu -100.00%
iter 5: loss 3.5322, time 570.80ms, mfu 0.07%
iter 6: loss 3.4641, time 585.41ms, mfu 0.07%
iter 7: loss 3.4089, time 568.92ms, mfu 0.07%
iter 8: loss 3.4378, time 568.99ms, mfu 0.07%
iter 9: loss 3.3986, time 571.02ms, mfu 0.07%
iter 10: loss 3.3566, time 570.50ms, mfu 0.07%
iter 11: loss 3.2794, time 586.26ms, mfu 0.07%
iter 12: loss 3.2123, time 554.76ms, mfu 0.07%
iter 13: loss 3.1265, time 587.40ms, mfu 0.07%
iter 14: loss 3.1346, time 569.07ms, mfu 0.07%
iter 15: loss 3.1527, time 584.38ms, mfu 0.07%
iter 16: loss 3.0374, time 569.75ms, mfu 0.07%
iter 17: loss 3.0496, time 582.76ms, mfu 0.07%
iter 18: loss 2.9770, time 569.77ms, mfu 0.07%
iter 19: loss 2.9758, time 570.39ms, mfu 0.07%
iter 20: loss 2.9205, time 572.38ms, mfu 0.07%
iter 21: loss 2.9157, time 554.17ms, mfu 0.07%
iter 22: loss 2.8437, time 569.11ms, mfu 0.07%
iter 23: loss 2.8770, time 571.62ms, mfu 0.07%
iter 24: loss 2.8427, time 574.91ms, mfu 0.07%
iter 25: loss 2.7928, time 562.65ms, mfu 0.07%
iter 26: loss 2.7710, time 570.08ms, mfu 0.07%
iter 27: loss 2.7720, time 576.72ms, mfu 0.07%
iter 28: loss 2.6989, time 565.02ms, mfu 0.07%
iter 29: loss 2.7335, time 571.07ms, mfu 0.07%
iter 30: loss 2.7319, time 585.58ms, mfu 0.07%
iter 31: loss 2.7272, time 569.43ms, mfu 0.07%
iter 32: loss 2.7267, time 570.84ms, mfu 0.07%
iter 33: loss 2.6945, time 568.99ms, mfu 0.07%
iter 34: loss 2.6556, time 586.42ms, mfu 0.07%
iter 35: loss 2.6513, time 568.91ms, mfu 0.07%
iter 36: loss 2.6579, time 601.08ms, mfu 0.07%
iter 37: loss 2.6637, time 586.59ms, mfu 0.07%
iter 38: loss 2.6295, time 570.29ms, mfu 0.07%
iter 39: loss 2.6052, time 583.19ms, mfu 0.07%
iter 40: loss 2.6307, time 584.82ms, mfu 0.07%
iter 41: loss 2.6141, time 600.44ms, mfu 0.07%
iter 42: loss 2.5908, time 583.57ms, mfu 0.07%
iter 43: loss 2.6384, time 589.66ms, mfu 0.07%
iter 44: loss 2.6235, time 570.40ms, mfu 0.07%
iter 45: loss 2.5816, time 572.06ms, mfu 0.07%
iter 46: loss 2.5732, time 571.58ms, mfu 0.07%
iter 47: loss 2.5448, time 597.38ms, mfu 0.07%
iter 48: loss 2.6250, time 578.07ms, mfu 0.07%
iter 49: loss 2.5825, time 571.57ms, mfu 0.07%
iter 50: loss 2.5239, time 569.22ms, mfu 0.07%
iter 51: loss 2.5820, time 571.53ms, mfu 0.07%
iter 52: loss 2.5691, time 583.20ms, mfu 0.07%
iter 53: loss 2.5680, time 585.82ms, mfu 0.07%
iter 54: loss 2.5772, time 568.30ms, mfu 0.07%
iter 55: loss 2.5396, time 585.46ms, mfu 0.07%
iter 56: loss 2.5499, time 571.03ms, mfu 0.07%
iter 57: loss 2.5510, time 585.00ms, mfu 0.07%
iter 58: loss 2.5709, time 570.67ms, mfu 0.07%
iter 59: loss 2.5813, time 586.85ms, mfu 0.07%
iter 60: loss 2.5327, time 570.20ms, mfu 0.07%
iter 61: loss 2.5450, time 585.84ms, mfu 0.07%
iter 62: loss 2.5100, time 584.96ms, mfu 0.07%
iter 63: loss 2.5329, time 570.98ms, mfu 0.07%
iter 64: loss 2.5234, time 586.87ms, mfu 0.07%
iter 65: loss 2.5233, time 586.48ms, mfu 0.07%
iter 66: loss 2.5286, time 571.86ms, mfu 0.07%
iter 67: loss 2.5261, time 585.94ms, mfu 0.07%
iter 68: loss 2.5440, time 567.61ms, mfu 0.07%
iter 69: loss 2.5313, time 586.05ms, mfu 0.07%
iter 70: loss 2.5010, time 585.96ms, mfu 0.07%
iter 71: loss 2.5111, time 585.25ms, mfu 0.07%
iter 72: loss 2.4789, time 569.77ms, mfu 0.07%
iter 73: loss 2.5237, time 587.01ms, mfu 0.07%
iter 74: loss 2.4778, time 570.68ms, mfu 0.07%
iter 75: loss 2.4795, time 568.66ms, mfu 0.07%
iter 76: loss 2.4772, time 570.38ms, mfu 0.07%
iter 77: loss 2.5183, time 568.42ms, mfu 0.07%
iter 78: loss 2.4923, time 571.20ms, mfu 0.07%
iter 79: loss 2.5029, time 586.31ms, mfu 0.07%
iter 80: loss 2.5344, time 569.56ms, mfu 0.07%
iter 81: loss 2.4745, time 588.65ms, mfu 0.07%
iter 82: loss 2.4857, time 580.88ms, mfu 0.07%
iter 83: loss 2.5449, time 586.25ms, mfu 0.07%
iter 84: loss 2.4708, time 568.08ms, mfu 0.07%
iter 85: loss 2.4715, time 586.56ms, mfu 0.07%
iter 86: loss 2.4784, time 587.22ms, mfu 0.07%
iter 87: loss 2.4971, time 570.96ms, mfu 0.07%
iter 88: loss 2.4883, time 571.14ms, mfu 0.07%
iter 89: loss 2.4705, time 586.56ms, mfu 0.07%
iter 90: loss 2.5091, time 570.25ms, mfu 0.07%
iter 91: loss 2.4420, time 567.61ms, mfu 0.07%
iter 92: loss 2.4597, time 583.75ms, mfu 0.07%
iter 93: loss 2.4315, time 602.62ms, mfu 0.07%
iter 94: loss 2.4366, time 587.41ms, mfu 0.07%
iter 95: loss 2.4855, time 568.91ms, mfu 0.07%
iter 96: loss 2.4788, time 602.87ms, mfu 0.07%
iter 97: loss 2.4354, time 585.38ms, mfu 0.07%
iter 98: loss 2.4162, time 569.91ms, mfu 0.07%
iter 99: loss 2.4607, time 568.43ms, mfu 0.07%
iter 100: loss 2.4265, time 570.60ms, mfu 0.07%
iter 101: loss 2.4316, time 569.25ms, mfu 0.07%
iter 102: loss 2.4747, time 569.78ms, mfu 0.07%
iter 103: loss 2.4652, time 553.92ms, mfu 0.07%
iter 104: loss 2.4750, time 570.24ms, mfu 0.07%
iter 105: loss 2.4516, time 571.24ms, mfu 0.07%
iter 106: loss 2.4600, time 570.32ms, mfu 0.07%
iter 107: loss 2.4787, time 585.28ms, mfu 0.07%
iter 108: loss 2.4640, time 585.66ms, mfu 0.07%
iter 109: loss 2.4519, time 586.86ms, mfu 0.07%
iter 110: loss 2.4016, time 571.83ms, mfu 0.07%
iter 111: loss 2.4974, time 586.32ms, mfu 0.07%
iter 112: loss 2.4755, time 569.47ms, mfu 0.07%
iter 113: loss 2.4807, time 569.98ms, mfu 0.07%
iter 114: loss 2.4733, time 584.78ms, mfu 0.07%
iter 115: loss 2.4733, time 584.13ms, mfu 0.07%
iter 116: loss 2.5018, time 585.37ms, mfu 0.07%
iter 117: loss 2.4347, time 555.61ms, mfu 0.07%
iter 118: loss 2.4011, time 570.56ms, mfu 0.07%
iter 119: loss 2.4302, time 600.88ms, mfu 0.07%
iter 120: loss 2.4190, time 585.04ms, mfu 0.07%
iter 121: loss 2.4348, time 584.73ms, mfu 0.07%
iter 122: loss 2.4269, time 571.12ms, mfu 0.07%
iter 123: loss 2.4366, time 585.94ms, mfu 0.07%
iter 124: loss 2.4303, time 586.53ms, mfu 0.07%
iter 125: loss 2.4142, time 570.54ms, mfu 0.07%
iter 126: loss 2.4251, time 579.35ms, mfu 0.07%
iter 127: loss 2.4591, time 560.42ms, mfu 0.07%
iter 128: loss 2.4024, time 585.06ms, mfu 0.07%
iter 129: loss 2.4626, time 569.10ms, mfu 0.07%
iter 130: loss 2.4238, time 570.30ms, mfu 0.07%
iter 131: loss 2.4381, time 583.28ms, mfu 0.07%
iter 132: loss 2.4419, time 569.49ms, mfu 0.07%
iter 133: loss 2.3827, time 569.11ms, mfu 0.07%
iter 134: loss 2.4071, time 585.95ms, mfu 0.07%
iter 135: loss 2.4087, time 586.13ms, mfu 0.07%
iter 136: loss 2.3803, time 586.80ms, mfu 0.07%
iter 137: loss 2.3796, time 584.32ms, mfu 0.07%
iter 138: loss 2.3695, time 554.98ms, mfu 0.07%
iter 139: loss 2.3942, time 569.15ms, mfu 0.07%
iter 140: loss 2.3946, time 570.10ms, mfu 0.07%
iter 141: loss 2.3761, time 568.06ms, mfu 0.07%
iter 142: loss 2.4494, time 574.98ms, mfu 0.07%
iter 143: loss 2.4111, time 578.99ms, mfu 0.07%
iter 144: loss 2.4007, time 582.87ms, mfu 0.07%
iter 145: loss 2.4231, time 568.29ms, mfu 0.07%
iter 146: loss 2.3894, time 571.45ms, mfu 0.07%
iter 147: loss 2.3768, time 568.67ms, mfu 0.07%
iter 148: loss 2.3984, time 569.64ms, mfu 0.07%
iter 149: loss 2.3694, time 585.03ms, mfu 0.07%
iter 150: loss 2.3775, time 618.64ms, mfu 0.07%
iter 151: loss 2.3876, time 602.39ms, mfu 0.07%
iter 152: loss 2.4583, time 587.51ms, mfu 0.07%
iter 153: loss 2.3793, time 586.54ms, mfu 0.07%
iter 154: loss 2.4044, time 587.72ms, mfu 0.07%
iter 155: loss 2.4354, time 618.83ms, mfu 0.07%
iter 156: loss 2.3579, time 600.92ms, mfu 0.07%
iter 157: loss 2.3887, time 601.57ms, mfu 0.07%
iter 158: loss 2.3635, time 600.68ms, mfu 0.07%
iter 159: loss 2.3694, time 600.61ms, mfu 0.07%
iter 160: loss 2.3382, time 587.41ms, mfu 0.07%
iter 161: loss 2.3802, time 617.77ms, mfu 0.07%
iter 162: loss 2.3701, time 632.17ms, mfu 0.07%
iter 163: loss 2.3355, time 631.52ms, mfu 0.07%
iter 164: loss 2.3495, time 586.05ms, mfu 0.07%
iter 165: loss 2.3605, time 600.19ms, mfu 0.07%
iter 166: loss 2.3478, time 600.33ms, mfu 0.07%
iter 167: loss 2.3300, time 585.78ms, mfu 0.07%
iter 168: loss 2.3607, time 587.27ms, mfu 0.07%
iter 169: loss 2.3757, time 570.51ms, mfu 0.07%
iter 170: loss 2.3622, time 585.70ms, mfu 0.07%
iter 171: loss 2.3313, time 583.26ms, mfu 0.07%
iter 172: loss 2.3309, time 567.80ms, mfu 0.07%
iter 173: loss 2.2979, time 584.59ms, mfu 0.07%
iter 174: loss 2.3324, time 568.64ms, mfu 0.07%
iter 175: loss 2.2905, time 585.79ms, mfu 0.07%
iter 176: loss 2.3087, time 584.94ms, mfu 0.07%
iter 177: loss 2.3125, time 568.94ms, mfu 0.07%
iter 178: loss 2.3036, time 599.41ms, mfu 0.07%
iter 179: loss 2.3635, time 617.28ms, mfu 0.07%
