iter 69: loss 2.5610, time 1719.24ms, mfu 0.01%
iter 70: loss 2.5983, time 1667.27ms, mfu 0.01%
iter 71: loss 2.5498, time 1645.25ms, mfu 0.01%
iter 72: loss 2.5602, time 1669.18ms, mfu 0.01%
iter 73: loss 2.5542, time 1449.43ms, mfu 0.01%
iter 74: loss 2.5537, time 1787.17ms, mfu 0.01%
iter 75: loss 2.5553, time 1726.14ms, mfu 0.01%
iter 76: loss 2.5290, time 1720.44ms, mfu 0.01%
iter 77: loss 2.5442, time 1651.87ms, mfu 0.01%
iter 78: loss 2.5435, time 1501.29ms, mfu 0.01%
iter 79: loss 2.5411, time 1721.00ms, mfu 0.01%
iter 80: loss 2.5189, time 1729.20ms, mfu 0.01%
iter 81: loss 2.5192, time 1636.40ms, mfu 0.01%
iter 82: loss 2.5572, time 1667.78ms, mfu 0.01%
iter 83: loss 2.5168, time 1654.84ms, mfu 0.01%
iter 84: loss 2.5110, time 1494.89ms, mfu 0.01%
iter 85: loss 2.5378, time 1715.22ms, mfu 0.01%
iter 86: loss 2.5375, time 1735.20ms, mfu 0.01%
iter 87: loss 2.5568, time 1668.32ms, mfu 0.01%
iter 88: loss 2.5201, time 1647.04ms, mfu 0.01%
iter 89: loss 2.4997, time 1653.50ms, mfu 0.01%
iter 90: loss 2.5317, time 1520.39ms, mfu 0.01%
iter 91: loss 2.5211, time 1765.49ms, mfu 0.01%
iter 92: loss 2.4960, time 1636.18ms, mfu 0.01%
iter 93: loss 2.5405, time 1679.83ms, mfu 0.01%
iter 94: loss 2.5560, time 1666.82ms, mfu 0.01%
iter 95: loss 2.5195, time 1500.89ms, mfu 0.01%
iter 96: loss 2.4828, time 1750.81ms, mfu 0.01%
iter 97: loss 2.5029, time 1667.84ms, mfu 0.01%
iter 98: loss 2.4960, time 1657.51ms, mfu 0.01%
iter 99: loss 2.5557, time 1696.31ms, mfu 0.01%
iter 100: loss 2.4743, time 1654.22ms, mfu 0.01%
iter 101: loss 2.4641, time 1490.75ms, mfu 0.01%
iter 102: loss 2.5343, time 1723.83ms, mfu 0.01%
iter 103: loss 2.4710, time 1679.96ms, mfu 0.01%
iter 104: loss 2.4555, time 1659.22ms, mfu 0.01%
iter 105: loss 2.5090, time 1689.07ms, mfu 0.01%
iter 106: loss 2.4740, time 1679.22ms, mfu 0.01%
iter 107: loss 2.4805, time 1511.77ms, mfu 0.01%
iter 108: loss 2.4812, time 1815.71ms, mfu 0.01%
iter 109: loss 2.5056, time 1700.38ms, mfu 0.01%
iter 110: loss 2.4130, time 1663.60ms, mfu 0.01%
iter 111: loss 2.4846, time 1662.93ms, mfu 0.01%
iter 112: loss 2.4357, time 1508.37ms, mfu 0.01%
iter 113: loss 2.5213, time 1756.42ms, mfu 0.01%
iter 114: loss 2.4487, time 1678.70ms, mfu 0.01%
iter 115: loss 2.4489, time 1657.55ms, mfu 0.01%
iter 116: loss 2.4877, time 1733.22ms, mfu 0.01%
iter 117: loss 2.4951, time 1642.69ms, mfu 0.01%
iter 118: loss 2.4534, time 1579.65ms, mfu 0.01%
iter 119: loss 2.4568, time 1850.65ms, mfu 0.01%
iter 120: loss 2.4150, time 1685.42ms, mfu 0.01%
iter 121: loss 2.4688, time 1719.45ms, mfu 0.01%
iter 122: loss 2.4515, time 1706.58ms, mfu 0.01%
iter 123: loss 2.4639, time 1495.28ms, mfu 0.01%
iter 124: loss 2.4361, time 1746.51ms, mfu 0.01%
iter 125: loss 2.4593, time 1681.39ms, mfu 0.01%
iter 126: loss 2.4393, time 1752.16ms, mfu 0.01%
iter 127: loss 2.4463, time 1678.58ms, mfu 0.01%
iter 128: loss 2.4195, time 1554.81ms, mfu 0.01%
iter 129: loss 2.3775, time 1577.01ms, mfu 0.01%
iter 130: loss 2.4317, time 1769.48ms, mfu 0.01%
iter 131: loss 2.4439, time 1633.22ms, mfu 0.01%
iter 132: loss 2.3763, time 1670.93ms, mfu 0.01%
iter 133: loss 2.4402, time 1664.07ms, mfu 0.01%
iter 134: loss 2.4400, time 1547.27ms, mfu 0.01%
iter 135: loss 2.4221, time 1730.50ms, mfu 0.01%
iter 136: loss 2.4274, time 1700.66ms, mfu 0.01%
iter 137: loss 2.4473, time 1717.05ms, mfu 0.01%
iter 138: loss 2.4499, time 1653.71ms, mfu 0.01%
iter 139: loss 2.5284, time 1678.91ms, mfu 0.01%
iter 140: loss 2.4502, time 1587.90ms, mfu 0.01%
iter 141: loss 2.4782, time 1733.06ms, mfu 0.01%
iter 142: loss 2.4556, time 1692.14ms, mfu 0.01%
iter 143: loss 2.3931, time 1673.79ms, mfu 0.01%
iter 144: loss 2.4243, time 1676.39ms, mfu 0.01%
iter 145: loss 2.4388, time 1518.18ms, mfu 0.01%
iter 146: loss 2.4277, time 1713.03ms, mfu 0.01%
iter 147: loss 2.3856, time 1668.59ms, mfu 0.01%
iter 148: loss 2.3878, time 1687.80ms, mfu 0.01%
iter 149: loss 2.4191, time 1652.37ms, mfu 0.01%
iter 150: loss 2.4457, time 1689.25ms, mfu 0.01%
iter 151: loss 2.4036, time 1472.64ms, mfu 0.01%
iter 152: loss 2.4224, time 1787.41ms, mfu 0.01%
iter 153: loss 2.3930, time 1681.75ms, mfu 0.01%
iter 154: loss 2.3929, time 1704.80ms, mfu 0.01%
iter 155: loss 2.3963, time 1664.59ms, mfu 0.01%
iter 156: loss 2.4049, time 1635.71ms, mfu 0.01%
iter 157: loss 2.4263, time 1730.78ms, mfu 0.01%
iter 158: loss 2.4352, time 1775.51ms, mfu 0.01%
iter 159: loss 2.3968, time 1644.33ms, mfu 0.01%
iter 160: loss 2.4096, time 1656.90ms, mfu 0.01%
iter 161: loss 2.4277, time 1690.86ms, mfu 0.01%
iter 162: loss 2.3955, time 1398.00ms, mfu 0.01%
iter 163: loss 2.4620, time 1778.31ms, mfu 0.01%
iter 164: loss 2.4529, time 1742.51ms, mfu 0.01%
