iter 72: loss 2.6688, time 31.30ms, mfu 0.03%
iter 73: loss 2.7598, time 47.10ms, mfu 0.03%
iter 74: loss 2.6476, time 47.10ms, mfu 0.03%
iter 75: loss 2.7969, time 53.14ms, mfu 0.03%
iter 76: loss 2.6676, time 41.52ms, mfu 0.03%
iter 77: loss 2.6510, time 47.01ms, mfu 0.03%
iter 78: loss 2.6883, time 31.53ms, mfu 0.03%
iter 79: loss 2.6693, time 47.01ms, mfu 0.03%
iter 80: loss 2.6641, time 47.14ms, mfu 0.03%
iter 81: loss 2.6726, time 31.71ms, mfu 0.03%
iter 82: loss 2.6799, time 47.10ms, mfu 0.03%
iter 83: loss 2.6336, time 31.45ms, mfu 0.03%
iter 84: loss 2.6098, time 31.30ms, mfu 0.03%
iter 85: loss 2.6559, time 47.04ms, mfu 0.03%
iter 86: loss 2.6097, time 31.48ms, mfu 0.03%
iter 87: loss 2.6691, time 47.04ms, mfu 0.03%
iter 88: loss 2.5758, time 31.64ms, mfu 0.03%
iter 89: loss 2.6286, time 31.54ms, mfu 0.03%
iter 90: loss 2.6453, time 47.13ms, mfu 0.03%
iter 91: loss 2.6098, time 47.08ms, mfu 0.03%
iter 92: loss 2.7016, time 47.13ms, mfu 0.03%
iter 93: loss 2.5865, time 31.51ms, mfu 0.03%
iter 94: loss 2.6178, time 47.00ms, mfu 0.03%
iter 95: loss 2.6471, time 31.47ms, mfu 0.03%
iter 96: loss 2.5653, time 47.83ms, mfu 0.03%
iter 97: loss 2.5718, time 31.52ms, mfu 0.03%
iter 98: loss 2.5371, time 46.96ms, mfu 0.03%
iter 99: loss 2.5052, time 31.60ms, mfu 0.03%
iter 100: loss 2.7407, time 47.06ms, mfu 0.03%
iter 101: loss 2.6291, time 35.31ms, mfu 0.03%
iter 102: loss 2.6412, time 43.09ms, mfu 0.03%
iter 103: loss 2.7337, time 31.55ms, mfu 0.03%
iter 104: loss 2.6020, time 47.69ms, mfu 0.03%
iter 105: loss 2.4958, time 31.58ms, mfu 0.03%
iter 106: loss 2.5796, time 47.01ms, mfu 0.03%
iter 107: loss 2.5873, time 31.57ms, mfu 0.03%
iter 108: loss 2.6127, time 47.43ms, mfu 0.03%
iter 109: loss 2.5865, time 31.92ms, mfu 0.03%
iter 110: loss 2.6298, time 47.56ms, mfu 0.03%
iter 111: loss 2.5898, time 47.06ms, mfu 0.03%
iter 112: loss 2.5910, time 31.42ms, mfu 0.03%
iter 113: loss 2.5423, time 46.98ms, mfu 0.03%
iter 114: loss 2.6647, time 31.30ms, mfu 0.03%
iter 115: loss 2.6275, time 47.28ms, mfu 0.03%
iter 116: loss 2.5517, time 37.35ms, mfu 0.03%
iter 117: loss 2.5288, time 41.19ms, mfu 0.03%
iter 118: loss 2.5592, time 31.80ms, mfu 0.03%
iter 119: loss 2.5682, time 31.70ms, mfu 0.03%
iter 120: loss 2.5810, time 47.13ms, mfu 0.03%
iter 121: loss 2.5732, time 31.38ms, mfu 0.03%
iter 122: loss 2.5207, time 47.14ms, mfu 0.03%
iter 123: loss 2.6039, time 39.02ms, mfu 0.03%
iter 124: loss 2.5147, time 39.91ms, mfu 0.03%
iter 125: loss 2.6142, time 47.14ms, mfu 0.03%
iter 126: loss 2.6329, time 55.89ms, mfu 0.03%
iter 127: loss 2.5067, time 38.93ms, mfu 0.03%
iter 128: loss 2.5020, time 62.77ms, mfu 0.03%
iter 129: loss 2.6039, time 47.41ms, mfu 0.03%
iter 130: loss 2.5592, time 68.57ms, mfu 0.03%
iter 131: loss 2.5220, time 42.41ms, mfu 0.03%
iter 132: loss 2.4623, time 62.88ms, mfu 0.03%
iter 133: loss 2.5680, time 47.22ms, mfu 0.03%
iter 134: loss 2.5316, time 31.38ms, mfu 0.03%
iter 135: loss 2.5928, time 47.48ms, mfu 0.03%
iter 136: loss 2.5324, time 31.65ms, mfu 0.03%
iter 137: loss 2.5432, time 47.16ms, mfu 0.03%
iter 138: loss 2.4968, time 31.43ms, mfu 0.03%
iter 139: loss 2.4999, time 31.47ms, mfu 0.03%
iter 140: loss 2.5880, time 47.16ms, mfu 0.03%
iter 141: loss 2.5462, time 31.32ms, mfu 0.03%
iter 142: loss 2.5336, time 47.32ms, mfu 0.03%
iter 143: loss 2.5443, time 47.54ms, mfu 0.03%
iter 144: loss 2.5222, time 47.61ms, mfu 0.03%
iter 145: loss 2.5628, time 62.86ms, mfu 0.03%
iter 146: loss 2.5522, time 47.36ms, mfu 0.03%
iter 147: loss 2.5112, time 47.22ms, mfu 0.03%
iter 148: loss 2.5146, time 63.19ms, mfu 0.03%
iter 149: loss 2.5859, time 31.54ms, mfu 0.03%
iter 150: loss 2.4860, time 47.16ms, mfu 0.03%
iter 151: loss 2.5018, time 37.65ms, mfu 0.03%
iter 152: loss 2.4591, time 41.21ms, mfu 0.03%
iter 153: loss 2.5114, time 31.58ms, mfu 0.03%
iter 154: loss 2.4130, time 31.43ms, mfu 0.03%
iter 155: loss 2.5330, time 47.13ms, mfu 0.03%
iter 156: loss 2.5136, time 31.35ms, mfu 0.03%
iter 157: loss 2.4902, time 47.12ms, mfu 0.03%
iter 158: loss 2.4547, time 31.41ms, mfu 0.03%
iter 159: loss 2.5048, time 47.20ms, mfu 0.03%
iter 160: loss 2.4949, time 31.63ms, mfu 0.03%
iter 161: loss 2.4690, time 47.30ms, mfu 0.03%
iter 162: loss 2.5136, time 41.08ms, mfu 0.03%
iter 163: loss 2.5032, time 37.74ms, mfu 0.03%
iter 164: loss 2.4626, time 31.82ms, mfu 0.03%
iter 165: loss 2.5054, time 47.07ms, mfu 0.03%
iter 166: loss 2.5100, time 31.71ms, mfu 0.03%
iter 167: loss 2.4373, time 47.22ms, mfu 0.03%
iter 168: loss 2.4772, time 31.83ms, mfu 0.03%
iter 169: loss 2.5293, time 31.50ms, mfu 0.03%
iter 170: loss 2.4662, time 47.42ms, mfu 0.03%
iter 171: loss 2.5384, time 47.03ms, mfu 0.03%
iter 172: loss 2.4848, time 47.21ms, mfu 0.03%
iter 173: loss 2.4650, time 47.54ms, mfu 0.03%
iter 174: loss 2.6235, time 47.22ms, mfu 0.03%
iter 175: loss 2.5173, time 47.10ms, mfu 0.03%
iter 176: loss 2.5457, time 47.55ms, mfu 0.03%
iter 177: loss 2.4113, time 47.08ms, mfu 0.03%
iter 178: loss 2.4745, time 47.13ms, mfu 0.03%
iter 179: loss 2.5078, time 47.44ms, mfu 0.03%
iter 180: loss 2.5274, time 47.02ms, mfu 0.03%
iter 181: loss 2.4474, time 31.39ms, mfu 0.03%
iter 182: loss 2.4966, time 47.10ms, mfu 0.03%
iter 183: loss 2.4782, time 31.34ms, mfu 0.03%
iter 184: loss 2.4943, time 47.18ms, mfu 0.03%
iter 185: loss 2.4715, time 31.39ms, mfu 0.03%
iter 186: loss 2.5143, time 46.97ms, mfu 0.03%
iter 187: loss 2.5505, time 31.42ms, mfu 0.03%
iter 188: loss 2.3975, time 47.09ms, mfu 0.03%
iter 189: loss 2.4899, time 31.41ms, mfu 0.03%
iter 190: loss 2.3708, time 31.54ms, mfu 0.03%
iter 191: loss 2.3938, time 47.35ms, mfu 0.03%
iter 192: loss 2.4848, time 31.36ms, mfu 0.03%
iter 193: loss 2.4502, time 37.49ms, mfu 0.03%
iter 194: loss 2.4488, time 41.22ms, mfu 0.03%
iter 195: loss 2.4358, time 43.01ms, mfu 0.03%
iter 196: loss 2.5025, time 35.59ms, mfu 0.03%
iter 197: loss 2.4765, time 31.41ms, mfu 0.03%
iter 198: loss 2.5004, time 47.22ms, mfu 0.03%
iter 199: loss 2.5943, time 47.13ms, mfu 0.03%
iter 200: loss 2.4144, time 47.51ms, mfu 0.03%
iter 201: loss 2.4448, time 47.03ms, mfu 0.03%
iter 202: loss 2.4058, time 31.65ms, mfu 0.03%
iter 203: loss 2.5046, time 47.04ms, mfu 0.03%
iter 204: loss 2.4974, time 31.58ms, mfu 0.03%
iter 205: loss 2.5423, time 31.45ms, mfu 0.03%
iter 206: loss 2.5362, time 47.22ms, mfu 0.03%
iter 207: loss 2.4461, time 31.49ms, mfu 0.03%
iter 208: loss 2.5491, time 47.19ms, mfu 0.03%
iter 209: loss 2.4967, time 31.94ms, mfu 0.03%
iter 210: loss 2.4726, time 31.51ms, mfu 0.03%
