iter 72: loss 2.6869, time 78.74ms, mfu 0.02%
iter 73: loss 2.6855, time 62.71ms, mfu 0.02%
iter 74: loss 2.6455, time 94.46ms, mfu 0.02%
iter 75: loss 2.6925, time 112.13ms, mfu 0.02%
iter 76: loss 2.7421, time 286.31ms, mfu 0.01%
iter 77: loss 2.7270, time 322.00ms, mfu 0.01%
iter 78: loss 2.7266, time 506.03ms, mfu 0.01%
iter 79: loss 2.6886, time 428.34ms, mfu 0.01%
iter 80: loss 2.7124, time 293.14ms, mfu 0.01%
iter 81: loss 2.6502, time 451.60ms, mfu 0.01%
iter 82: loss 2.7343, time 387.70ms, mfu 0.01%
iter 83: loss 2.6864, time 398.28ms, mfu 0.01%
iter 84: loss 2.6412, time 474.39ms, mfu 0.01%
iter 85: loss 2.7025, time 307.36ms, mfu 0.01%
iter 86: loss 2.6222, time 181.79ms, mfu 0.01%
iter 87: loss 2.6673, time 325.17ms, mfu 0.01%
iter 88: loss 2.6899, time 297.48ms, mfu 0.01%
iter 89: loss 2.6571, time 274.62ms, mfu 0.01%
iter 90: loss 2.6910, time 401.89ms, mfu 0.01%
iter 91: loss 2.6713, time 441.45ms, mfu 0.01%
iter 92: loss 2.5679, time 460.73ms, mfu 0.01%
iter 93: loss 2.6661, time 469.63ms, mfu 0.01%
iter 94: loss 2.6188, time 344.49ms, mfu 0.01%
iter 95: loss 2.6371, time 290.10ms, mfu 0.01%
iter 96: loss 2.6445, time 426.99ms, mfu 0.00%
iter 97: loss 2.5778, time 336.79ms, mfu 0.00%
iter 98: loss 2.5642, time 186.93ms, mfu 0.00%
iter 99: loss 2.6397, time 392.49ms, mfu 0.00%
iter 100: loss 2.5648, time 170.58ms, mfu 0.01%
iter 101: loss 2.5841, time 155.96ms, mfu 0.01%
iter 102: loss 2.5906, time 173.09ms, mfu 0.01%
iter 103: loss 2.5612, time 388.60ms, mfu 0.01%
iter 104: loss 2.5894, time 373.66ms, mfu 0.01%
iter 105: loss 2.6136, time 337.18ms, mfu 0.01%
iter 106: loss 2.6066, time 261.06ms, mfu 0.00%
iter 107: loss 2.5815, time 360.64ms, mfu 0.00%
iter 108: loss 2.6557, time 169.71ms, mfu 0.01%
iter 109: loss 2.6117, time 159.59ms, mfu 0.01%
iter 110: loss 2.5619, time 161.79ms, mfu 0.01%
iter 111: loss 2.6141, time 425.63ms, mfu 0.01%
iter 112: loss 2.5066, time 232.14ms, mfu 0.01%
iter 113: loss 2.5168, time 301.67ms, mfu 0.01%
iter 114: loss 2.4904, time 329.76ms, mfu 0.01%
iter 115: loss 2.5420, time 314.71ms, mfu 0.01%
iter 116: loss 2.4956, time 163.61ms, mfu 0.01%
iter 117: loss 2.5702, time 220.06ms, mfu 0.01%
iter 118: loss 2.5551, time 429.09ms, mfu 0.01%
iter 119: loss 2.5565, time 313.49ms, mfu 0.01%
iter 120: loss 2.5664, time 282.22ms, mfu 0.00%
iter 121: loss 2.5084, time 269.21ms, mfu 0.00%
iter 122: loss 2.5947, time 190.76ms, mfu 0.01%
iter 123: loss 2.5344, time 207.78ms, mfu 0.01%
iter 124: loss 2.5135, time 207.14ms, mfu 0.01%
iter 125: loss 2.5274, time 333.51ms, mfu 0.01%
iter 126: loss 2.5972, time 325.56ms, mfu 0.01%
iter 127: loss 2.4907, time 364.30ms, mfu 0.00%
iter 128: loss 2.5892, time 461.64ms, mfu 0.00%
iter 129: loss 2.5467, time 435.95ms, mfu 0.00%
iter 130: loss 2.5078, time 377.06ms, mfu 0.00%
iter 131: loss 2.4728, time 439.37ms, mfu 0.00%
iter 132: loss 2.5921, time 242.59ms, mfu 0.00%
iter 133: loss 2.5451, time 213.89ms, mfu 0.00%
iter 134: loss 2.4734, time 264.40ms, mfu 0.00%
iter 135: loss 2.5710, time 382.43ms, mfu 0.00%
iter 136: loss 2.4634, time 177.03ms, mfu 0.00%
iter 137: loss 2.5289, time 244.73ms, mfu 0.00%
iter 138: loss 2.5339, time 264.13ms, mfu 0.00%
iter 139: loss 2.4582, time 439.04ms, mfu 0.00%
iter 140: loss 2.5383, time 365.14ms, mfu 0.00%
