C:\Users\vinay\Downloads\video_pexels\videos\tensorflow\nanoGPT\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
C:\Users\vinay\Downloads\video_pexels\videos\venv\Lib\site-packages\torch\amp\grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 100
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 128
Overriding: max_iters = 10000
Overriding: lr_decay_iters = 10000
Overriding: dropout = 0.0
tokens per iteration will be: 768
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: False
step 0: train loss 4.1408, val loss 4.1397
iter 0: loss 4.1514, time 3551.21ms, mfu -100.00%
iter 1: loss 4.1306, time 73.45ms, mfu -100.00%
iter 2: loss 4.0682, time 47.14ms, mfu -100.00%
iter 3: loss 4.0097, time 63.19ms, mfu -100.00%
iter 4: loss 3.9415, time 63.01ms, mfu -100.00%
iter 5: loss 3.9197, time 79.28ms, mfu 0.02%
iter 6: loss 3.8246, time 63.08ms, mfu 0.02%
iter 7: loss 3.8064, time 62.90ms, mfu 0.02%
iter 8: loss 3.7830, time 63.50ms, mfu 0.02%
iter 9: loss 3.7652, time 78.54ms, mfu 0.02%
iter 10: loss 3.7341, time 63.05ms, mfu 0.02%
iter 11: loss 3.6710, time 63.06ms, mfu 0.02%
iter 12: loss 3.6793, time 78.63ms, mfu 0.02%
iter 13: loss 3.6880, time 81.04ms, mfu 0.02%
iter 14: loss 3.6469, time 59.28ms, mfu 0.02%
iter 15: loss 3.6546, time 79.40ms, mfu 0.02%
iter 16: loss 3.6673, time 78.94ms, mfu 0.02%
iter 17: loss 3.5791, time 78.58ms, mfu 0.02%
iter 18: loss 3.6032, time 78.80ms, mfu 0.02%
iter 19: loss 3.5980, time 62.94ms, mfu 0.02%
iter 20: loss 3.5896, time 63.26ms, mfu 0.02%
iter 21: loss 3.5303, time 63.06ms, mfu 0.02%
iter 22: loss 3.4587, time 78.81ms, mfu 0.02%
iter 23: loss 3.5076, time 79.83ms, mfu 0.02%
iter 24: loss 3.4896, time 78.98ms, mfu 0.02%
iter 25: loss 3.5026, time 94.73ms, mfu 0.02%
iter 26: loss 3.4224, time 95.02ms, mfu 0.02%
iter 27: loss 3.4503, time 95.24ms, mfu 0.02%
iter 28: loss 3.3943, time 78.84ms, mfu 0.02%
iter 29: loss 3.3827, time 94.61ms, mfu 0.02%
iter 30: loss 3.3059, time 63.48ms, mfu 0.02%
iter 31: loss 3.2570, time 62.83ms, mfu 0.02%
iter 32: loss 3.2695, time 62.99ms, mfu 0.02%
iter 33: loss 3.2320, time 78.77ms, mfu 0.02%
iter 34: loss 3.2225, time 63.16ms, mfu 0.02%
iter 35: loss 3.1536, time 78.83ms, mfu 0.02%
iter 36: loss 3.1354, time 63.34ms, mfu 0.02%
iter 37: loss 3.1279, time 134.50ms, mfu 0.02%
iter 38: loss 3.0620, time 128.82ms, mfu 0.02%
iter 39: loss 3.0937, time 183.93ms, mfu 0.02%
iter 40: loss 3.0625, time 263.02ms, mfu 0.01%
iter 41: loss 3.0486, time 148.12ms, mfu 0.01%
iter 42: loss 3.0247, time 216.09ms, mfu 0.01%
iter 43: loss 3.0254, time 275.88ms, mfu 0.01%
iter 44: loss 3.0177, time 271.54ms, mfu 0.01%
iter 45: loss 2.9780, time 237.30ms, mfu 0.01%
iter 46: loss 2.9772, time 174.06ms, mfu 0.01%
iter 47: loss 2.9616, time 185.78ms, mfu 0.01%
iter 48: loss 2.9068, time 246.09ms, mfu 0.01%
iter 49: loss 2.9472, time 280.60ms, mfu 0.01%
iter 50: loss 2.8631, time 276.55ms, mfu 0.01%
iter 51: loss 2.9513, time 252.25ms, mfu 0.01%
iter 52: loss 2.8890, time 235.03ms, mfu 0.01%
iter 53: loss 2.8076, time 267.11ms, mfu 0.01%
iter 54: loss 2.8691, time 178.45ms, mfu 0.01%
iter 55: loss 2.9046, time 113.55ms, mfu 0.01%
iter 56: loss 2.8613, time 130.38ms, mfu 0.01%
iter 57: loss 2.8511, time 249.15ms, mfu 0.01%
iter 58: loss 2.8385, time 225.68ms, mfu 0.01%
iter 59: loss 2.7803, time 265.86ms, mfu 0.01%
iter 60: loss 2.8271, time 207.47ms, mfu 0.01%
iter 61: loss 2.8309, time 130.18ms, mfu 0.01%
iter 62: loss 2.7799, time 67.64ms, mfu 0.01%
iter 63: loss 2.7833, time 113.12ms, mfu 0.01%
iter 64: loss 2.7169, time 245.03ms, mfu 0.01%
iter 65: loss 2.8090, time 260.56ms, mfu 0.01%
iter 66: loss 2.7530, time 271.36ms, mfu 0.01%
iter 67: loss 2.7449, time 271.04ms, mfu 0.01%
iter 68: loss 2.6956, time 268.22ms, mfu 0.01%
iter 69: loss 2.7621, time 274.42ms, mfu 0.01%
iter 70: loss 2.7291, time 242.84ms, mfu 0.01%
iter 71: loss 2.6942, time 287.75ms, mfu 0.01%
iter 72: loss 2.6897, time 274.22ms, mfu 0.01%
