iter 72: loss 2.6895, time 94.39ms, mfu 0.01%
iter 73: loss 2.6888, time 103.27ms, mfu 0.01%
iter 74: loss 2.6462, time 88.65ms, mfu 0.01%
iter 75: loss 2.6885, time 91.15ms, mfu 0.01%
iter 76: loss 2.7433, time 94.39ms, mfu 0.01%
iter 77: loss 2.7249, time 94.60ms, mfu 0.01%
iter 78: loss 2.7246, time 94.22ms, mfu 0.01%
iter 79: loss 2.6794, time 94.08ms, mfu 0.01%
iter 80: loss 2.7087, time 94.53ms, mfu 0.01%
iter 81: loss 2.6385, time 94.42ms, mfu 0.01%
iter 82: loss 2.7280, time 93.70ms, mfu 0.01%
iter 83: loss 2.6792, time 94.39ms, mfu 0.01%
iter 84: loss 2.6325, time 94.57ms, mfu 0.01%
iter 85: loss 2.6956, time 94.56ms, mfu 0.01%
iter 86: loss 2.6166, time 94.09ms, mfu 0.01%
iter 87: loss 2.6646, time 94.25ms, mfu 0.01%
iter 88: loss 2.6844, time 94.23ms, mfu 0.01%
iter 89: loss 2.6449, time 110.26ms, mfu 0.01%
iter 90: loss 2.6858, time 94.76ms, mfu 0.01%
iter 91: loss 2.6652, time 94.51ms, mfu 0.01%
iter 92: loss 2.5583, time 94.61ms, mfu 0.01%
iter 93: loss 2.6615, time 283.95ms, mfu 0.01%
iter 94: loss 2.6161, time 330.86ms, mfu 0.01%
iter 95: loss 2.6341, time 158.46ms, mfu 0.01%
iter 96: loss 2.6383, time 94.27ms, mfu 0.01%
iter 97: loss 2.5732, time 94.47ms, mfu 0.01%
iter 98: loss 2.5600, time 94.18ms, mfu 0.01%
iter 99: loss 2.6362, time 94.02ms, mfu 0.01%
iter 100: loss 2.5583, time 99.21ms, mfu 0.01%
iter 101: loss 2.5718, time 93.44ms, mfu 0.01%
iter 102: loss 2.5894, time 89.40ms, mfu 0.01%
iter 103: loss 2.5642, time 94.51ms, mfu 0.01%
iter 104: loss 2.5877, time 94.55ms, mfu 0.01%
iter 105: loss 2.6203, time 106.00ms, mfu 0.01%
iter 106: loss 2.6054, time 98.35ms, mfu 0.01%
iter 107: loss 2.5848, time 94.25ms, mfu 0.01%
iter 108: loss 2.6501, time 93.93ms, mfu 0.01%
iter 109: loss 2.6094, time 93.96ms, mfu 0.01%
iter 110: loss 2.5726, time 101.38ms, mfu 0.01%
iter 111: loss 2.6069, time 87.40ms, mfu 0.01%
iter 112: loss 2.5086, time 94.00ms, mfu 0.01%
iter 113: loss 2.5177, time 94.39ms, mfu 0.01%
iter 114: loss 2.4890, time 97.06ms, mfu 0.01%
iter 115: loss 2.5430, time 91.31ms, mfu 0.01%
iter 116: loss 2.4990, time 94.40ms, mfu 0.01%
iter 117: loss 2.5807, time 110.01ms, mfu 0.01%
iter 118: loss 2.5506, time 94.76ms, mfu 0.01%
iter 119: loss 2.5598, time 94.22ms, mfu 0.01%
iter 120: loss 2.5547, time 94.12ms, mfu 0.01%
iter 121: loss 2.5016, time 94.13ms, mfu 0.01%
iter 122: loss 2.5774, time 94.11ms, mfu 0.01%
iter 123: loss 2.5289, time 94.53ms, mfu 0.01%
iter 124: loss 2.5164, time 94.23ms, mfu 0.01%
iter 125: loss 2.5436, time 94.25ms, mfu 0.01%
iter 126: loss 2.5975, time 94.12ms, mfu 0.01%
iter 127: loss 2.4979, time 94.49ms, mfu 0.01%
iter 128: loss 2.6009, time 101.80ms, mfu 0.01%
iter 129: loss 2.5412, time 94.39ms, mfu 0.01%
iter 130: loss 2.5009, time 85.76ms, mfu 0.01%
iter 131: loss 2.4681, time 94.58ms, mfu 0.01%
iter 132: loss 2.5873, time 94.75ms, mfu 0.01%
iter 133: loss 2.5414, time 94.13ms, mfu 0.01%
iter 134: loss 2.4795, time 102.21ms, mfu 0.01%
iter 135: loss 2.5695, time 103.86ms, mfu 0.01%
iter 136: loss 2.4741, time 92.14ms, mfu 0.01%
iter 137: loss 2.5325, time 94.23ms, mfu 0.01%
iter 138: loss 2.5340, time 93.99ms, mfu 0.01%
iter 139: loss 2.4545, time 96.29ms, mfu 0.01%
iter 140: loss 2.5386, time 100.12ms, mfu 0.01%
iter 141: loss 2.6057, time 89.41ms, mfu 0.01%
iter 142: loss 2.5236, time 90.67ms, mfu 0.01%
iter 143: loss 2.5185, time 104.36ms, mfu 0.01%
iter 144: loss 2.5810, time 86.39ms, mfu 0.01%
iter 145: loss 2.5911, time 91.81ms, mfu 0.01%
iter 146: loss 2.5283, time 128.01ms, mfu 0.01%
iter 147: loss 2.4816, time 123.97ms, mfu 0.01%
iter 148: loss 2.6388, time 130.97ms, mfu 0.01%
iter 149: loss 2.5622, time 104.42ms, mfu 0.01%
iter 150: loss 2.5078, time 110.26ms, mfu 0.01%
iter 151: loss 2.5815, time 109.72ms, mfu 0.01%
iter 152: loss 2.5395, time 94.28ms, mfu 0.01%
iter 153: loss 2.4972, time 109.80ms, mfu 0.01%
iter 154: loss 2.5097, time 109.71ms, mfu 0.01%
iter 155: loss 2.5053, time 109.62ms, mfu 0.01%
iter 156: loss 2.5009, time 109.78ms, mfu 0.01%
iter 157: loss 2.5062, time 94.36ms, mfu 0.01%
iter 158: loss 2.4613, time 94.26ms, mfu 0.01%
iter 159: loss 2.4585, time 94.61ms, mfu 0.01%
iter 160: loss 2.4660, time 94.11ms, mfu 0.01%
iter 161: loss 2.5519, time 78.48ms, mfu 0.01%
iter 162: loss 2.5266, time 94.67ms, mfu 0.01%
iter 163: loss 2.4928, time 78.91ms, mfu 0.01%
iter 164: loss 2.5157, time 94.12ms, mfu 0.01%
iter 165: loss 2.5542, time 94.43ms, mfu 0.01%
iter 166: loss 2.5453, time 94.48ms, mfu 0.01%
iter 167: loss 2.5149, time 94.20ms, mfu 0.01%
iter 168: loss 2.5236, time 94.20ms, mfu 0.01%
iter 169: loss 2.4816, time 94.10ms, mfu 0.01%
iter 170: loss 2.4935, time 94.07ms, mfu 0.01%
iter 171: loss 2.4074, time 78.35ms, mfu 0.01%
iter 172: loss 2.4696, time 94.31ms, mfu 0.01%
iter 173: loss 2.4877, time 110.39ms, mfu 0.01%
iter 174: loss 2.3992, time 78.67ms, mfu 0.01%
iter 175: loss 2.5210, time 109.74ms, mfu 0.01%
iter 176: loss 2.4067, time 94.08ms, mfu 0.01%
iter 177: loss 2.4513, time 79.08ms, mfu 0.01%
iter 178: loss 2.4534, time 94.35ms, mfu 0.01%
iter 179: loss 2.4795, time 94.40ms, mfu 0.01%
iter 180: loss 2.4194, time 94.17ms, mfu 0.01%
iter 181: loss 2.3706, time 94.01ms, mfu 0.01%
iter 182: loss 2.5329, time 94.47ms, mfu 0.01%
iter 183: loss 2.4806, time 93.93ms, mfu 0.01%
iter 184: loss 2.5664, time 104.26ms, mfu 0.01%
iter 185: loss 2.5082, time 100.09ms, mfu 0.01%
iter 186: loss 2.4571, time 94.18ms, mfu 0.01%
iter 187: loss 2.4415, time 94.23ms, mfu 0.01%
iter 188: loss 2.5376, time 94.35ms, mfu 0.01%
iter 189: loss 2.5131, time 94.08ms, mfu 0.01%
iter 190: loss 2.4446, time 93.96ms, mfu 0.01%
iter 191: loss 2.4854, time 94.00ms, mfu 0.01%
iter 192: loss 2.5316, time 94.92ms, mfu 0.01%
iter 193: loss 2.5275, time 94.42ms, mfu 0.01%
iter 194: loss 2.5703, time 78.71ms, mfu 0.01%
iter 195: loss 2.5282, time 95.23ms, mfu 0.01%
iter 196: loss 2.5367, time 94.12ms, mfu 0.01%
iter 197: loss 2.4035, time 94.23ms, mfu 0.01%
iter 198: loss 2.4452, time 102.04ms, mfu 0.01%
iter 199: loss 2.5135, time 86.57ms, mfu 0.01%
iter 200: loss 2.4791, time 94.21ms, mfu 0.01%
iter 201: loss 2.4615, time 95.00ms, mfu 0.01%
iter 202: loss 2.4704, time 94.33ms, mfu 0.01%
iter 203: loss 2.4885, time 94.01ms, mfu 0.01%
iter 204: loss 2.5064, time 94.45ms, mfu 0.01%
iter 205: loss 2.4584, time 94.60ms, mfu 0.01%
iter 206: loss 2.5736, time 298.91ms, mfu 0.01%
iter 207: loss 2.4282, time 189.02ms, mfu 0.01%
iter 208: loss 2.4558, time 109.74ms, mfu 0.01%
iter 209: loss 2.4260, time 94.89ms, mfu 0.01%
iter 210: loss 2.4148, time 94.16ms, mfu 0.01%
iter 211: loss 2.4809, time 94.25ms, mfu 0.01%
iter 212: loss 2.4317, time 94.43ms, mfu 0.01%
iter 213: loss 2.5285, time 78.56ms, mfu 0.01%
iter 214: loss 2.4617, time 94.01ms, mfu 0.01%
iter 215: loss 2.4523, time 109.78ms, mfu 0.01%
iter 216: loss 2.5342, time 87.36ms, mfu 0.01%
iter 217: loss 2.3882, time 85.38ms, mfu 0.01%
iter 218: loss 2.4553, time 94.87ms, mfu 0.01%
iter 219: loss 2.5272, time 94.13ms, mfu 0.01%
iter 220: loss 2.4110, time 94.44ms, mfu 0.01%
iter 221: loss 2.3776, time 94.08ms, mfu 0.01%
iter 222: loss 2.3825, time 94.11ms, mfu 0.01%
iter 223: loss 2.4109, time 78.82ms, mfu 0.01%
iter 224: loss 2.4847, time 102.84ms, mfu 0.01%
iter 225: loss 2.4508, time 86.01ms, mfu 0.01%
iter 226: loss 2.4555, time 84.35ms, mfu 0.01%
iter 227: loss 2.4626, time 88.41ms, mfu 0.01%
iter 228: loss 2.4024, time 94.77ms, mfu 0.01%
iter 229: loss 2.4482, time 94.30ms, mfu 0.01%
iter 230: loss 2.4248, time 94.42ms, mfu 0.01%
iter 231: loss 2.3370, time 94.84ms, mfu 0.01%
iter 232: loss 2.4365, time 94.43ms, mfu 0.01%
iter 233: loss 2.5240, time 78.36ms, mfu 0.01%
iter 234: loss 2.4664, time 104.16ms, mfu 0.01%
iter 235: loss 2.5207, time 92.29ms, mfu 0.01%
iter 236: loss 2.3691, time 86.41ms, mfu 0.01%
iter 237: loss 2.4035, time 94.23ms, mfu 0.01%
iter 238: loss 2.4194, time 82.99ms, mfu 0.01%
iter 239: loss 2.4679, time 89.49ms, mfu 0.01%
iter 240: loss 2.4647, time 94.48ms, mfu 0.01%
iter 241: loss 2.3717, time 99.65ms, mfu 0.01%
iter 242: loss 2.4564, time 92.82ms, mfu 0.01%
iter 243: loss 2.4397, time 90.23ms, mfu 0.01%
iter 244: loss 2.4291, time 78.91ms, mfu 0.01%
iter 245: loss 2.4483, time 109.87ms, mfu 0.01%
iter 246: loss 2.4814, time 82.84ms, mfu 0.01%
iter 247: loss 2.4321, time 90.21ms, mfu 0.01%
iter 248: loss 2.4377, time 94.18ms, mfu 0.01%
iter 249: loss 2.4444, time 94.40ms, mfu 0.01%
step 250: train loss 2.4307, val loss 2.4412
saving checkpoint to out-shakespeare-char
iter 250: loss 2.5565, time 5390.49ms, mfu 0.01%
iter 251: loss 2.3896, time 110.09ms, mfu 0.01%
iter 252: loss 2.4847, time 94.26ms, mfu 0.01%
iter 253: loss 2.4658, time 78.34ms, mfu 0.01%
iter 254: loss 2.4223, time 94.79ms, mfu 0.01%
iter 255: loss 2.4105, time 94.17ms, mfu 0.01%
iter 256: loss 2.4924, time 94.25ms, mfu 0.01%
iter 257: loss 2.4267, time 78.47ms, mfu 0.01%
iter 258: loss 2.3919, time 94.67ms, mfu 0.01%
iter 259: loss 2.3324, time 94.05ms, mfu 0.01%
iter 260: loss 2.4151, time 78.53ms, mfu 0.01%
iter 261: loss 2.3807, time 102.72ms, mfu 0.01%
iter 262: loss 2.4156, time 85.99ms, mfu 0.01%
iter 263: loss 2.5413, time 94.47ms, mfu 0.01%
iter 264: loss 2.5156, time 94.93ms, mfu 0.01%
iter 265: loss 2.3916, time 94.26ms, mfu 0.01%
iter 266: loss 2.4988, time 94.71ms, mfu 0.01%
iter 267: loss 2.4020, time 313.48ms, mfu 0.01%
iter 268: loss 2.3507, time 156.75ms, mfu 0.01%
iter 269: loss 2.3961, time 125.56ms, mfu 0.01%
iter 270: loss 2.3657, time 109.71ms, mfu 0.01%
iter 271: loss 2.3959, time 94.17ms, mfu 0.01%
iter 272: loss 2.4048, time 78.63ms, mfu 0.01%
iter 273: loss 2.5157, time 94.11ms, mfu 0.01%
iter 274: loss 2.3916, time 98.13ms, mfu 0.01%
iter 275: loss 2.4116, time 89.93ms, mfu 0.01%
iter 276: loss 2.3742, time 78.76ms, mfu 0.01%
iter 277: loss 2.3445, time 94.58ms, mfu 0.01%
iter 278: loss 2.3901, time 94.37ms, mfu 0.01%
iter 279: loss 2.3870, time 78.90ms, mfu 0.01%
iter 280: loss 2.4031, time 94.92ms, mfu 0.01%
iter 281: loss 2.4362, time 95.04ms, mfu 0.01%
iter 282: loss 2.2937, time 94.17ms, mfu 0.01%
iter 283: loss 2.3509, time 78.43ms, mfu 0.01%
iter 284: loss 2.3597, time 102.34ms, mfu 0.01%
iter 285: loss 2.3830, time 86.74ms, mfu 0.01%
iter 286: loss 2.3364, time 94.02ms, mfu 0.01%
iter 287: loss 2.4384, time 94.76ms, mfu 0.01%
iter 288: loss 2.4190, time 78.40ms, mfu 0.01%
iter 289: loss 2.3954, time 94.42ms, mfu 0.01%
iter 290: loss 2.2795, time 94.01ms, mfu 0.01%
iter 291: loss 2.3579, time 94.27ms, mfu 0.01%
iter 292: loss 2.4226, time 78.53ms, mfu 0.01%
iter 293: loss 2.4080, time 94.57ms, mfu 0.01%
iter 294: loss 2.4513, time 94.58ms, mfu 0.01%
iter 295: loss 2.4340, time 94.82ms, mfu 0.01%
iter 296: loss 2.4001, time 78.68ms, mfu 0.01%
iter 297: loss 2.3955, time 94.10ms, mfu 0.01%
iter 298: loss 2.4707, time 94.40ms, mfu 0.01%
iter 299: loss 2.3756, time 94.41ms, mfu 0.01%
iter 300: loss 2.3911, time 78.83ms, mfu 0.01%
iter 301: loss 2.5076, time 110.38ms, mfu 0.01%
iter 302: loss 2.3725, time 78.42ms, mfu 0.01%
iter 303: loss 2.4128, time 94.14ms, mfu 0.01%
iter 304: loss 2.3543, time 94.14ms, mfu 0.01%
iter 305: loss 2.4058, time 93.96ms, mfu 0.01%
iter 306: loss 2.4262, time 92.97ms, mfu 0.01%
iter 307: loss 2.4531, time 80.52ms, mfu 0.01%
iter 308: loss 2.4255, time 94.21ms, mfu 0.01%
iter 309: loss 2.3315, time 94.34ms, mfu 0.01%
iter 310: loss 2.3846, time 78.67ms, mfu 0.01%
iter 311: loss 2.2930, time 94.19ms, mfu 0.01%
iter 312: loss 2.3332, time 94.81ms, mfu 0.01%
iter 313: loss 2.4364, time 78.84ms, mfu 0.01%
iter 314: loss 2.3252, time 122.25ms, mfu 0.01%
iter 315: loss 2.3959, time 119.64ms, mfu 0.01%
iter 316: loss 2.3903, time 104.50ms, mfu 0.01%
iter 317: loss 2.4837, time 94.25ms, mfu 0.01%
iter 318: loss 2.3998, time 94.03ms, mfu 0.01%
iter 319: loss 2.3597, time 94.03ms, mfu 0.01%
iter 320: loss 2.3602, time 109.80ms, mfu 0.01%
iter 321: loss 2.4142, time 94.81ms, mfu 0.01%
iter 322: loss 2.3591, time 283.27ms, mfu 0.01%
iter 323: loss 2.3915, time 94.21ms, mfu 0.01%
iter 324: loss 2.3892, time 94.21ms, mfu 0.01%
iter 325: loss 2.3355, time 91.45ms, mfu 0.01%
iter 326: loss 2.4290, time 88.45ms, mfu 0.01%
iter 327: loss 2.4154, time 87.12ms, mfu 0.01%
iter 328: loss 2.3512, time 94.06ms, mfu 0.01%
iter 329: loss 2.3282, time 79.16ms, mfu 0.01%
iter 330: loss 2.3740, time 94.28ms, mfu 0.01%
iter 331: loss 2.3046, time 94.34ms, mfu 0.01%
iter 332: loss 2.3872, time 78.66ms, mfu 0.01%
iter 333: loss 2.3719, time 94.15ms, mfu 0.01%
iter 334: loss 2.3590, time 102.38ms, mfu 0.01%
iter 335: loss 2.4170, time 86.26ms, mfu 0.01%
iter 336: loss 2.3504, time 78.40ms, mfu 0.01%
iter 337: loss 2.4104, time 94.40ms, mfu 0.01%
iter 338: loss 2.4054, time 94.38ms, mfu 0.01%
iter 339: loss 2.3679, time 94.08ms, mfu 0.01%
iter 340: loss 2.3674, time 84.74ms, mfu 0.01%
iter 341: loss 2.3739, time 88.06ms, mfu 0.01%
iter 342: loss 2.3978, time 94.25ms, mfu 0.01%
iter 343: loss 2.3737, time 94.38ms, mfu 0.01%
iter 344: loss 2.3848, time 78.74ms, mfu 0.01%
iter 345: loss 2.3888, time 94.38ms, mfu 0.01%
iter 346: loss 2.3616, time 94.28ms, mfu 0.01%
iter 347: loss 2.3223, time 94.00ms, mfu 0.01%
iter 348: loss 2.3527, time 78.64ms, mfu 0.01%
iter 349: loss 2.4069, time 94.05ms, mfu 0.01%
iter 350: loss 2.3442, time 94.38ms, mfu 0.01%
iter 351: loss 2.2765, time 78.76ms, mfu 0.01%
iter 352: loss 2.3760, time 94.74ms, mfu 0.01%
iter 353: loss 2.3502, time 94.84ms, mfu 0.01%
iter 354: loss 2.4307, time 78.47ms, mfu 0.01%
iter 355: loss 2.4191, time 94.16ms, mfu 0.01%
iter 356: loss 2.3979, time 94.18ms, mfu 0.01%
iter 357: loss 2.3400, time 93.48ms, mfu 0.01%
iter 358: loss 2.3796, time 94.08ms, mfu 0.01%
iter 359: loss 2.4160, time 89.30ms, mfu 0.01%
iter 360: loss 2.2799, time 83.78ms, mfu 0.01%
iter 361: loss 2.3555, time 94.39ms, mfu 0.01%
iter 362: loss 2.4389, time 78.31ms, mfu 0.01%
iter 363: loss 2.3455, time 94.37ms, mfu 0.01%
iter 364: loss 2.3541, time 97.76ms, mfu 0.01%
iter 365: loss 2.3659, time 81.81ms, mfu 0.01%
iter 366: loss 2.3781, time 87.17ms, mfu 0.01%
iter 367: loss 2.3436, time 93.71ms, mfu 0.01%
iter 368: loss 2.3252, time 94.27ms, mfu 0.01%
iter 369: loss 2.3843, time 94.41ms, mfu 0.01%
iter 370: loss 2.3370, time 78.59ms, mfu 0.01%
iter 371: loss 2.3182, time 94.19ms, mfu 0.01%
iter 372: loss 2.3786, time 94.49ms, mfu 0.01%
iter 373: loss 2.4143, time 94.16ms, mfu 0.01%
iter 374: loss 2.3468, time 78.83ms, mfu 0.01%
iter 375: loss 2.3847, time 99.28ms, mfu 0.01%
iter 376: loss 2.3949, time 89.16ms, mfu 0.01%
iter 377: loss 2.3948, time 94.21ms, mfu 0.01%
iter 378: loss 2.4487, time 94.59ms, mfu 0.01%
iter 379: loss 2.2840, time 94.02ms, mfu 0.01%
iter 380: loss 2.4268, time 92.72ms, mfu 0.01%
iter 381: loss 2.3638, time 95.79ms, mfu 0.01%
iter 382: loss 2.3709, time 80.41ms, mfu 0.01%
iter 383: loss 2.3462, time 99.33ms, mfu 0.01%
iter 384: loss 2.3298, time 94.27ms, mfu 0.01%
