iter 72: loss 2.6786, time 47.20ms, mfu 0.03%
iter 73: loss 2.6770, time 47.26ms, mfu 0.03%
iter 74: loss 2.6377, time 47.41ms, mfu 0.03%
iter 75: loss 2.6758, time 62.79ms, mfu 0.03%
iter 76: loss 2.7316, time 47.36ms, mfu 0.03%
iter 77: loss 2.7196, time 47.18ms, mfu 0.03%
iter 78: loss 2.7062, time 46.98ms, mfu 0.03%
iter 79: loss 2.6709, time 47.50ms, mfu 0.03%
iter 80: loss 2.7016, time 63.08ms, mfu 0.03%
iter 81: loss 2.6246, time 47.51ms, mfu 0.03%
iter 82: loss 2.7157, time 47.42ms, mfu 0.03%
iter 83: loss 2.6735, time 47.78ms, mfu 0.03%
iter 84: loss 2.6140, time 47.40ms, mfu 0.03%
iter 85: loss 2.6903, time 63.22ms, mfu 0.03%
iter 86: loss 2.6022, time 47.00ms, mfu 0.03%
iter 87: loss 2.6657, time 47.51ms, mfu 0.03%
iter 88: loss 2.6830, time 63.42ms, mfu 0.02%
iter 89: loss 2.6482, time 47.28ms, mfu 0.03%
iter 90: loss 2.6664, time 47.31ms, mfu 0.03%
iter 91: loss 2.6612, time 62.67ms, mfu 0.02%
iter 92: loss 2.5489, time 47.29ms, mfu 0.03%
iter 93: loss 2.6539, time 46.99ms, mfu 0.03%
iter 94: loss 2.5971, time 47.47ms, mfu 0.03%
iter 95: loss 2.6237, time 63.20ms, mfu 0.02%
iter 96: loss 2.6405, time 47.40ms, mfu 0.03%
iter 97: loss 2.5623, time 47.36ms, mfu 0.03%
iter 98: loss 2.5524, time 47.53ms, mfu 0.03%
iter 99: loss 2.6352, time 47.32ms, mfu 0.03%
iter 100: loss 2.5500, time 47.90ms, mfu 0.03%
iter 101: loss 2.5581, time 62.94ms, mfu 0.03%
iter 102: loss 2.5829, time 47.49ms, mfu 0.03%
iter 103: loss 2.5513, time 47.16ms, mfu 0.03%
iter 104: loss 2.5724, time 47.48ms, mfu 0.03%
iter 105: loss 2.5946, time 62.64ms, mfu 0.03%
iter 106: loss 2.5837, time 50.53ms, mfu 0.03%
iter 107: loss 2.5689, time 43.69ms, mfu 0.03%
iter 108: loss 2.6295, time 47.60ms, mfu 0.03%
iter 109: loss 2.5991, time 47.40ms, mfu 0.03%
iter 110: loss 2.5459, time 63.09ms, mfu 0.03%
iter 111: loss 2.6000, time 47.11ms, mfu 0.03%
iter 112: loss 2.4945, time 47.73ms, mfu 0.03%
iter 113: loss 2.5193, time 47.44ms, mfu 0.03%
iter 114: loss 2.4764, time 47.84ms, mfu 0.03%
iter 115: loss 2.5231, time 63.07ms, mfu 0.03%
iter 116: loss 2.4803, time 47.39ms, mfu 0.03%
iter 117: loss 2.5671, time 63.79ms, mfu 0.02%
iter 118: loss 2.5427, time 47.63ms, mfu 0.02%
iter 119: loss 2.5450, time 63.13ms, mfu 0.02%
iter 120: loss 2.5309, time 47.19ms, mfu 0.02%
iter 121: loss 2.4802, time 47.13ms, mfu 0.02%
iter 122: loss 2.5616, time 47.31ms, mfu 0.03%
iter 123: loss 2.5182, time 62.76ms, mfu 0.02%
iter 124: loss 2.4995, time 47.45ms, mfu 0.02%
iter 125: loss 2.5244, time 69.08ms, mfu 0.02%
iter 126: loss 2.6004, time 57.54ms, mfu 0.02%
iter 127: loss 2.4741, time 47.36ms, mfu 0.02%
iter 128: loss 2.5780, time 63.10ms, mfu 0.02%
iter 129: loss 2.5317, time 62.83ms, mfu 0.02%
iter 130: loss 2.4826, time 47.31ms, mfu 0.02%
iter 131: loss 2.4615, time 63.12ms, mfu 0.02%
iter 132: loss 2.5872, time 47.14ms, mfu 0.02%
iter 133: loss 2.5264, time 62.92ms, mfu 0.02%
iter 134: loss 2.4783, time 47.33ms, mfu 0.02%
iter 135: loss 2.5645, time 47.33ms, mfu 0.02%
iter 136: loss 2.4576, time 47.12ms, mfu 0.02%
iter 137: loss 2.5154, time 47.41ms, mfu 0.02%
iter 138: loss 2.5293, time 47.22ms, mfu 0.02%
iter 139: loss 2.4430, time 47.30ms, mfu 0.03%
iter 140: loss 2.5102, time 31.50ms, mfu 0.03%
iter 141: loss 2.5915, time 47.41ms, mfu 0.03%
iter 142: loss 2.5067, time 47.02ms, mfu 0.03%
iter 143: loss 2.5172, time 47.65ms, mfu 0.03%
iter 144: loss 2.5606, time 47.23ms, mfu 0.03%
iter 145: loss 2.5728, time 47.25ms, mfu 0.03%
iter 146: loss 2.5117, time 47.34ms, mfu 0.03%
iter 147: loss 2.4632, time 47.40ms, mfu 0.03%
iter 148: loss 2.6197, time 63.49ms, mfu 0.03%
iter 149: loss 2.5512, time 46.95ms, mfu 0.03%
iter 150: loss 2.5041, time 47.01ms, mfu 0.03%
iter 151: loss 2.5788, time 31.40ms, mfu 0.03%
iter 152: loss 2.5273, time 47.31ms, mfu 0.03%
iter 153: loss 2.4810, time 47.77ms, mfu 0.03%
iter 154: loss 2.4869, time 47.01ms, mfu 0.03%
iter 155: loss 2.4946, time 47.41ms, mfu 0.03%
iter 156: loss 2.4839, time 47.57ms, mfu 0.03%
iter 157: loss 2.4747, time 47.47ms, mfu 0.03%
iter 158: loss 2.4494, time 51.01ms, mfu 0.03%
iter 159: loss 2.4467, time 43.14ms, mfu 0.03%
iter 160: loss 2.4575, time 47.45ms, mfu 0.03%
iter 161: loss 2.5296, time 47.06ms, mfu 0.03%
iter 162: loss 2.5011, time 47.17ms, mfu 0.03%
iter 163: loss 2.4782, time 47.19ms, mfu 0.03%
iter 164: loss 2.5005, time 31.48ms, mfu 0.03%
iter 165: loss 2.5253, time 47.03ms, mfu 0.03%
iter 166: loss 2.5332, time 47.45ms, mfu 0.03%
iter 167: loss 2.5070, time 47.57ms, mfu 0.03%
iter 168: loss 2.5266, time 47.28ms, mfu 0.03%
iter 169: loss 2.4604, time 47.52ms, mfu 0.03%
iter 170: loss 2.5002, time 47.23ms, mfu 0.03%
iter 171: loss 2.3916, time 47.08ms, mfu 0.03%
iter 172: loss 2.4562, time 47.01ms, mfu 0.03%
iter 173: loss 2.4764, time 47.24ms, mfu 0.03%
iter 174: loss 2.3943, time 47.46ms, mfu 0.03%
